,START,END,RISK_FLOW
0,17001000100,17001000100,1.681174776000219e-05
0,17001000100,17001000201,1.4513739073383188e-06
0,17001000100,17001000202,1.088530430503739e-06
0,17001000100,17001000400,1.2094782561152656e-06
0,17001000100,17001000500,1.4392791247771661e-05
0,17001000100,17001000600,8.587295618418383e-06
0,17001000100,17001000700,8.345399967195334e-06
0,17001000100,17001000800,7.256869536691594e-07
0,17001000100,17001001001,4.837913024461063e-07
0,17001000100,17001001002,2.6608521634535845e-06
0,17001000100,17001001100,9.192034746476019e-06
0,17001000100,17001010400,5.56359997813022e-06
0,17001000100,17001010500,4.837913024461063e-07
0,17001000100,17001010600,6.047391280576328e-07
0,17001000100,17009970500,1.2441343521611803e-07
0,17001000100,17021958200,1.476425259684945e-08
0,17001000100,17115001000,1.615234472133957e-08
0,17001000201,17001000100,2.076528045511058e-06
0,17001000201,17001000201,3.114792068266587e-07
0,17001000201,17001000400,5.191320113777645e-07
0,17001000201,17001000500,2.1284412466488346e-06
0,17001000201,17001000600,1.8169620398221757e-06
0,17001000201,17001000700,1.6093092352710697e-06
0,17001000201,17001001001,1.038264022755529e-07
0,17001000201,17001001002,1.5573960341332935e-07
0,17001000201,17001001100,1.5573960341332937e-06
0,17001000201,17001010400,1.3497432295821875e-06
0,17001000201,17001010600,4.153056091022116e-07
0,17001000201,17009970500,8.010106408230289e-08
0,17001000201,17113001200,7.463706744659023e-08
0,17001000202,17001000100,4.860340782052316e-06
0,17001000202,17001000201,4.7035555955345e-07
0,17001000202,17001000202,7.839259325890833e-07
0,17001000202,17001000400,1.0191037123658082e-06
0,17001000202,17001000500,4.860340782052316e-06
0,17001000202,17001000600,2.508562984285067e-06
0,17001000202,17001000700,1.8814222382137997e-06
0,17001000202,17001000800,4.7035555955345e-07
0,17001000202,17001000900,1.5678518651781668e-07
0,17001000202,17001001002,2.35177779776725e-07
0,17001000202,17001001100,3.370881510133058e-06
0,17001000202,17001010400,1.0974963056247168e-06
0,17001000202,17001010600,1.5678518651781668e-07
0,17001000202,17009970500,9.071869002372617e-08
0,17001000202,17167002000,2.4209971732683242e-08
0,17001000400,17001000100,7.34339153858789e-06
0,17001000400,17001000201,9.038020355185096e-07
0,17001000400,17001000202,2.259505088796274e-07
0,17001000400,17001000400,3.6152081420740385e-06
0,17001000400,17001000500,6.7785152663888225e-06
0,17001000400,17001000600,2.372480343236088e-06
0,17001000400,17001000700,3.0503318698749703e-06
0,17001000400,17001000800,6.778515266388823e-07
0,17001000400,17001001002,1.129752544398137e-06
0,17001000400,17001001100,1.2427277988379509e-06
0,17001000400,17001010400,1.3557030532777645e-06
