,START,END,RISK_FLOW
0,17001000100,17001000100,5.8684592624950235e-06
0,17001000100,17001000201,5.066295766182755e-07
0,17001000100,17001000202,3.7997218246370666e-07
0,17001000100,17001000400,4.2219131384856295e-07
0,17001000100,17001000500,5.024076634797899e-06
0,17001000100,17001000600,2.997558328324796e-06
0,17001000100,17001000700,2.913120065555084e-06
0,17001000100,17001000800,2.5331478830913774e-07
0,17001000100,17001001001,1.6887652553942518e-07
0,17001000100,17001001002,9.288208904668386e-07
0,17001000100,17001001100,3.2086539852490782e-06
0,17001000100,17001010400,1.9420800437033894e-06
0,17001000100,17001010500,1.6887652553942518e-07
0,17001000100,17001010600,2.1109565692428147e-07
0,17001000100,17009970500,3.988300223289574e-08
0,17001000100,17021958200,4.689910892861683e-09
0,17001000100,17115001000,7.3956287156665e-09
0,17001000201,17001000100,7.248514798385545e-07
0,17001000201,17001000201,1.0872772197578317e-07
0,17001000201,17001000400,1.8121286995963862e-07
0,17001000201,17001000500,7.429727668345183e-07
0,17001000201,17001000600,6.342450448587352e-07
0,17001000201,17001000700,5.617598968748796e-07
0,17001000201,17001001001,3.624257399192772e-08
0,17001000201,17001001002,5.4363860987891586e-08
0,17001000201,17001001100,5.436386098789158e-07
0,17001000201,17001010400,4.711534618950604e-07
0,17001000201,17001010600,1.449702959677109e-07
0,17001000201,17009970500,2.5677861173934883e-08
0,17001000201,17113001200,1.8620274056044026e-08
0,17001000202,17001000100,1.6965940893532344e-06
0,17001000202,17001000201,1.6418652477611946e-07
0,17001000202,17001000202,2.736442079601991e-07
0,17001000202,17001000400,3.5573747034825883e-07
0,17001000202,17001000500,1.6965940893532344e-06
0,17001000202,17001000600,8.756614654726371e-07
0,17001000202,17001000700,6.567460991044778e-07
0,17001000202,17001000800,1.6418652477611946e-07
0,17001000202,17001000900,5.472884159203982e-08
0,17001000202,17001001002,8.209326238805973e-08
0,17001000202,17001001100,1.1766700942288563e-06
0,17001000202,17001010400,3.8310189114427873e-07
0,17001000202,17001010600,5.472884159203982e-08
0,17001000202,17009970500,2.9081535370328773e-08
0,17001000202,17167002000,9.616213925310327e-09
0,17001000400,17001000100,2.5633500280846536e-06
0,17001000400,17001000201,3.1548923422580353e-07
0,17001000400,17001000202,7.887230855645088e-08
0,17001000400,17001000400,1.2619569369032141e-06
0,17001000400,17001000500,2.3661692566935266e-06
0,17001000400,17001000600,8.281592398427343e-07
0,17001000400,17001000700,1.0647761655120867e-06
0,17001000400,17001000800,2.3661692566935267e-07
0,17001000400,17001001002,3.943615427822544e-07
0,17001000400,17001001100,4.3379769706047994e-07
0,17001000400,17001010400,4.7323385133870534e-07
0,17001000400,17001010500,1.5774461711290176e-07
0,17001000400,17001010600,2.3661692566935267e-07
0,17001000400,17057953300,1.49676102232706e-08
0,17001000400,17167002000,4.157513496351242e-08
0,17001000500,17001000100,1.2367915242471895e-06
0,17001000500,17001000201,1.066199589868267e-07
0,17001000500,17001000202,8.529596718946135e-08
0,17001000500,17001000400,8.529596718946135e-08
0,17001000500,17001000500,1.258115516044555e-06
0,17001000500,17001000600,4.264798359473068e-07
0,17001000500,17001000700,1.705919343789227e-07
0,17001000500,17001000800,8.529596718946135e-08
0,17001000500,17001001002,1.2794395078419202e-07
0,17001000500,17001001100,7.036917293130561e-07
0,17001000500,17001010400,3.625078605552108e-07
0,17001000500,17001010500,4.2647983594730675e-08
0,17001000500,17009970400,5.036015572632245e-09
0,17001000500,17009970500,1.2590038931580616e-08
0,17001000500,17167002000,7.493528490646974e-09
0,17001000600,17001000100,1.1534482032899194e-06
0,17001000600,17001000201,1.696247357779293e-07
0,17001000600,17001000400,2.0354968293351517e-07
0,17001000600,17001000500,2.5443710366689397e-06
0,17001000600,17001000600,2.7479207196024554e-06
0,17001000600,17001000700,1.8997970407128084e-06
0,17001000600,17001000800,2.7139957724468686e-07
0,17001000600,17001001002,4.0709936586703035e-07
0,17001000600,17001001100,2.3408213537354244e-06
0,17001000600,17001010400,8.141987317340607e-07
0,17001000600,17001010600,6.445739959561314e-07
0,17001000600,17009970500,3.60537340803209e-08
0,17001000600,17167002000,1.1921668347550444e-08
0,17001000700,17001000100,9.45938480801394e-08
0,17001000700,17001000500,1.7567428929168745e-07
0,17001000700,17001000700,2.2972791676605286e-07
0,17001000700,17001000800,2.7026813737182688e-08
0,17001000700,17001001100,8.108044121154806e-08
0,17001000700,17001010400,2.7026813737182688e-08
0,17001000700,17001010600,2.7026813737182688e-08
0,17001000700,17009970500,3.1914159448302664e-09
0,17001000700,17021958300,1.5011363804469737e-09
0,17001000700,17057953800,5.128882633193827e-09
0,17001000700,17167002000,2.849272322117621e-08
0,17001000800,17001000100,6.431505715999534e-07
0,17001000800,17001000201,4.9473120892304106e-08
0,17001000800,17001000400,1.4841936267691235e-07
0,17001000800,17001000500,6.678871320461055e-07
0,17001000800,17001000600,2.473656044615206e-07
0,17001000800,17001000700,3.9578496713843285e-07
0,17001000800,17001000800,9.894624178460821e-08
0,17001000800,17001001002,2.2262904401536851e-07
0,17001000800,17001001100,9.399892969537782e-07
0,17001000800,17001010400,2.721021649076727e-07
0,17001000800,17001010600,4.9473120892304106e-08
0,17001000800,17009970500,5.841950456741976e-09
0,17001000800,17167002000,1.738549913405556e-08
