,START,END,RISK_FLOW
0,17001000100,17001000100,4.230512794868041e-05
0,17001000100,17001000201,3.6522412617565825e-06
0,17001000100,17001000202,2.7391809463174367e-06
0,17001000100,17001000400,3.0435343847971524e-06
0,17001000100,17001000500,3.62180591790861e-05
0,17001000100,17001000600,2.160909413205977e-05
0,17001000100,17001000700,2.1000387255100344e-05
0,17001000100,17001000800,1.8261206308782913e-06
0,17001000100,17001001001,1.2174137539188607e-06
0,17001000100,17001001002,6.6957756465537345e-06
0,17001000100,17001001100,2.3130861324458355e-05
0,17001000100,17001010400,1.4000258170066898e-05
0,17001000100,17001010500,1.2174137539188607e-06
0,17001000100,17001010600,1.5217671923985762e-06
0,17001000100,17009970500,2.8751252023223726e-07
0,17001000100,17021958200,3.3809092219218875e-08
0,17001000100,17115001000,5.331433773030669e-08
0,17001000201,17001000100,5.2253808413288515e-06
0,17001000201,17001000201,7.838071261993277e-07
0,17001000201,17001000400,1.3063452103322129e-06
0,17001000201,17001000500,5.356015362362072e-06
0,17001000201,17001000600,4.572208236162745e-06
0,17001000201,17001000700,4.049670152029859e-06
0,17001000201,17001001001,2.6126904206644256e-07
0,17001000201,17001001002,3.9190356309966387e-07
0,17001000201,17001001100,3.9190356309966376e-06
0,17001000201,17001010400,3.396497546863753e-06
0,17001000201,17001010600,1.0450761682657703e-06
0,17001000201,17009970500,1.8510909828654323e-07
0,17001000201,17113001200,1.3423166816796213e-07
0,17001000202,17001000100,1.2230574809604777e-05
0,17001000202,17001000201,1.1836040138327202e-06
0,17001000202,17001000202,1.972673356387867e-06
0,17001000202,17001000400,2.564475363304227e-06
0,17001000202,17001000500,1.2230574809604777e-05
0,17001000202,17001000600,6.312554740441175e-06
0,17001000202,17001000700,4.734416055330881e-06
0,17001000202,17001000800,1.1836040138327202e-06
0,17001000202,17001000900,3.945346712775734e-07
0,17001000202,17001001002,5.918020069163601e-07
0,17001000202,17001001100,8.48249543246783e-06
0,17001000202,17001010400,2.7617426989430135e-06
0,17001000202,17001010600,3.945346712775734e-07
0,17001000202,17009970500,2.0964584054431377e-07
0,17001000202,17167002000,6.93223114100948e-08
0,17001000400,17001000100,1.847893051050493e-05
0,17001000400,17001000201,2.2743299089852226e-06
0,17001000400,17001000202,5.685824772463057e-07
0,17001000400,17001000400,9.09731963594089e-06
0,17001000400,17001000500,1.7057474317389167e-05
0,17001000400,17001000600,5.97011601108621e-06
0,17001000400,17001000700,7.675863442825126e-06
0,17001000400,17001000800,1.705747431738917e-06
0,17001000400,17001001002,2.842912386231528e-06
0,17001000400,17001001100,3.127203624854682e-06
0,17001000400,17001010400,3.411494863477834e-06
0,17001000400,17001010500,1.1371649544926113e-06
0,17001000400,17001010600,1.705747431738917e-06
0,17001000400,17057953300,1.0789998486114145e-07
0,17001000400,17167002000,2.997109335589492e-07
0,17001000500,17001000100,8.915904727074e-06
0,17001000500,17001000201,7.686124764718964e-07
0,17001000500,17001000202,6.148899811775171e-07
0,17001000500,17001000400,6.148899811775171e-07
0,17001000500,17001000500,9.069627222368379e-06
0,17001000500,17001000600,3.0744499058875857e-06
0,17001000500,17001000700,1.2297799623550343e-06
0,17001000500,17001000800,6.148899811775171e-07
0,17001000500,17001001002,9.223349717662758e-07
0,17001000500,17001001100,5.072842344714517e-06
0,17001000500,17001010400,2.613282420004448e-06
0,17001000500,17001010500,3.074449905887586e-07
0,17001000500,17009970400,3.6304125771706144e-08
0,17001000500,17009970500,9.076031442926535e-08
0,17001000500,17167002000,5.402008728422515e-08
0,17001000600,17001000100,8.315091174648314e-06
