,START,END,RISK_FLOW
0,17001000100,17001000100,0.00016642906975677886
0,17001000100,17001000201,1.4367977245189542e-05
0,17001000100,17001000202,1.0775982933892157e-05
0,17001000100,17001000400,1.1973314370991284e-05
0,17001000100,17001000500,0.00014248244101479628
0,17001000100,17001000600,8.501053203403815e-05
0,17001000100,17001000700,8.261586915983987e-05
0,17001000100,17001000800,7.1839886225947685e-06
0,17001000100,17001001001,4.789325748396514e-06
0,17001000100,17001001002,2.6341291616180826e-05
0,17001000100,17001001100,9.099718921953374e-05
0,17001000100,17001010400,5.50772461065599e-05
0,17001000100,17001010500,4.789325748396514e-06
0,17001000100,17001010600,5.986657185495642e-06
0,17001000100,17009970500,1.3068661489905402e-06
0,17001000100,17021958200,1.0075551107554537e-07
0,17001000100,17115001000,1.756762757214637e-07
0,17001000201,17001000100,2.0556734247494014e-05
0,17001000201,17001000201,3.083510137124102e-06
0,17001000201,17001000400,5.139183561873503e-06
0,17001000201,17001000500,2.1070652603681364e-05
0,17001000201,17001000600,1.798714246655726e-05
0,17001000201,17001000700,1.593146904180786e-05
0,17001000201,17001001001,1.0278367123747006e-06
0,17001000201,17001001002,1.541755068562051e-06
0,17001000201,17001001100,1.5417550685620512e-05
0,17001000201,17001010400,1.336187726087111e-05
0,17001000201,17001010600,4.111346849498802e-06
0,17001000201,17009970500,8.413992344592223e-07
0,17001000201,17113001200,6.631093199205767e-07
0,17001000202,17001000100,4.8115282634825574e-05
0,17001000202,17001000201,4.656317674337958e-06
0,17001000202,17001000202,7.760529457229932e-06
0,17001000202,17001000400,1.008868829439891e-05
0,17001000202,17001000500,4.8115282634825574e-05
0,17001000202,17001000600,2.4833694263135782e-05
0,17001000202,17001000700,1.8625270697351835e-05
0,17001000202,17001000800,4.656317674337958e-06
0,17001000202,17001000900,1.5521058914459864e-06
0,17001000202,17001001002,2.3281588371689793e-06
0,17001000202,17001001100,3.3370276666088694e-05
0,17001000202,17001010400,1.0864741240121904e-05
0,17001000202,17001010600,1.5521058914459864e-06
0,17001000202,17009970500,9.529291178788552e-07
0,17001000202,17167002000,2.8801135900803226e-07
0,17001000400,17001000100,7.269641681959313e-05
0,17001000400,17001000201,8.947251300873002e-06
0,17001000400,17001000202,2.2368128252182505e-06
0,17001000400,17001000400,3.578900520349201e-05
0,17001000400,17001000500,6.71043847565475e-05
0,17001000400,17001000600,2.348653466479163e-05
0,17001000400,17001000700,3.019697314044638e-05
0,17001000400,17001000800,6.71043847565475e-06
0,17001000400,17001001002,1.1184064126091252e-05
0,17001000400,17001001100,1.2302470538700377e-05
0,17001000400,17001010400,1.3420876951309503e-05
0,17001000400,17001010500,4.473625650436501e-06
0,17001000400,17001010600,6.71043847565475e-06
0,17001000400,17057953300,5.437695790688067e-07
0,17001000400,17167002000,1.2452001603528296e-06
0,17001000500,17001000100,3.507531596564483e-05
0,17001000500,17001000201,3.023734134969382e-06
0,17001000500,17001000202,2.4189873079755052e-06
0,17001000500,17001000400,2.4189873079755052e-06
0,17001000500,17001000500,3.568006279263871e-05
