,FIPS,exposure1,exposure2,exposure3,exposure4
0,17001000100,0.0019408323602561244,0.00031870047166126137,0.0008375755213707768,0.00666364733083982
0,17001000201,0.00038446828306679283,6.172446374466137e-05,0.00016444856617017068,0.0013507592953610275
0,17001000202,0.0006604461081644484,0.00010677273095361021,0.0002828004929426275,0.0023020187861961202
0,17001000400,0.0008802095935544437,0.00014277741842360516,0.0003772785846142367,0.0030586079993514775
0,17001000500,0.00041780024370844347,6.727255921965764e-05,0.00017852938693841894,0.0014616928287740027
0,17001000600,0.0010832090034403458,0.00017642261341965323,0.0004655452790972648,0.0037491729732382893
0,17001000700,7.07423577973531e-05,1.1196851021897105e-05,2.98461681242859e-05,0.0002523262735252239
0,17001000800,0.0003418701708281446,5.484747995681506e-05,0.0001457221348879436,0.0011996792415530538
0,17001000900,0.0006302744755050834,0.00010177354324747331,0.00026971876147238597,0.0021992495996407376
0,17001001001,0.0011462775097462498,0.00018668441412961542,0.0004927190829362249,0.00400412682991051
0,17001001002,0.0009812725830478945,0.00015915926767897022,0.0004210747711713347,0.0034209732831407755
0,17001001100,0.0058225866631963965,0.0009736058666616151,0.0025360849063051864,0.019691161810442944
0,17001010100,0.0006683123188242587,0.00010813253375415223,0.0002867983778012538,0.0023507397619767405
0,17001010200,0.0002389699232632078,3.820997020716074e-05,0.00010264184109695041,0.0008545265137742846
0,17001010300,0.0011949456823434066,0.0001947924758566438,0.0005141851296068999,0.004136728329409888
0,17001010400,0.0011750837356677049,0.0001914311265285686,0.0005054583303906459,0.004070191428387011
0,17001010500,0.0010566599912074834,0.00017184190805805428,0.0004537183699191356,0.0036618735522270986
0,17001010600,0.0035359928662015722,0.000584977683731833,0.0015317987408397398,0.012059528148391696
0,17019000200,7.18755396844852e-05,0.00013532807662425657,0.0002390860079262238,0.0007202928805276085
0,17019000301,7.270991563314241e-05,0.000136615257232446,0.00024186054871190837,0.0007305680128431346
0,17019000302,5.356625499636853e-05,0.00010060288020760882,0.00017661287008691577,0.0005309849844403903
0,17019000401,9.325499714976301e-05,0.00017527800930306967,0.0003450975951106394,0.000972694242328322
0,17019000402,8.843288031345475e-05,0.00016590235144946285,0.00031199246412690854,0.0008936794811439964
