"","Origin.ID","Destination.ID","Traffic.V"
"318",161,195,2828
"319",31,7,2805
"320",177,85,2785
"321",85,177,2783
"322",189,27,2777
"323",145,157,2776
"324",105,63,2772
"325",103,99,2771
"326",115,173,2754
"327",7,31,2752
"328",21,115,2742
"329",99,31,2729
"330",27,189,2692
"331",35,29,2652
"332",83,117,2649
"333",189,163,2643
"334",167,135,2640
"335",203,123,2635
"336",165,59,2603
"337",17,137,2601
"338",177,15,2597
"339",117,83,2595
"340",31,99,2592
"341",63,105,2585
"342",195,15,2554
"343",37,111,2554
"344",157,145,2548
"345",19,115,2545
"346",123,203,2538
"347",173,115,2534
"348",163,189,2528
"349",19,29,2506
"350",179,57,2493
"351",29,49,2479
"352",49,35,2423
"353",35,49,2414
"354",59,165,2407
"355",55,77,2406
"356",135,167,2405
"357",137,171,2390
"358",15,177,2389
"359",57,179,2369
"360",19,75,2355
"361",11,155,2349
"362",111,37,2349
"363",99,123,2346
"364",99,103,2343
"365",171,137,2337
"366",57,95,2332
"367",109,57,2329
"368",137,17,2326
"369",195,161,2322
"370",73,11,2318
"371",57,109,2313
"372",123,99,2298
"373",95,57,2297
"374",155,11,2291
"375",7,89,2275
"376",115,19,2247
"377",67,1,2232
"378",29,19,2215
"379",31,19,2213
"380",49,29,2206
"381",121,51,2197
"382",51,5,2179
"383",81,191,2163
"384",5,51,2151
"385",77,157,2151
"386",77,55,2151
"387",175,73,2129
"388",103,37,2124
"389",83,61,2122
"390",43,63,2096
"391",19,39,2093
"392",195,141,2086
"393",63,43,2068
"394",49,79,2065
"395",201,43,2060
"396",89,7,2051
"397",119,135,2042
"398",75,19,2025
"399",7,37,2024
"400",1,67,2014
"401",113,31,2013
"402",27,5,2004
"403",55,145,1983
"404",79,49,1953
"405",45,23,1951
"406",99,43,1936
"407",149,1,1928
"408",157,77,1914
"409",57,125,1910
"410",1,149,1907
"411",81,189,1892
"412",5,27,1890
"413",51,121,1884
"414",29,173,1869
"415",167,17,1865
"416",125,57,1864
"417",135,119,1833
"418",139,173,1831
"419",199,181,1831
"420",73,175,1827
"421",37,7,1826
"422",115,113,1825
"423",197,37,1823
"424",37,197,1819
"425",39,19,1806
"426",37,103,1805
"427",61,83,1804
"428",173,139,1798
"429",113,167,1789
"430",109,67,1784
"431",113,115,1784
"432",31,113,1779
"433",145,55,1773
"434",21,135,1772
"435",43,201,1759
"436",173,29,1752
"437",25,191,1750
"438",167,113,1728
"439",43,99,1721
"440",99,89,1714
"441",23,45,1706
"442",25,49,1700
"443",191,25,1681
"444",67,109,1665
"445",107,115,1663
"446",115,107,1658
"447",45,29,1657
"448",105,197,1649
"449",147,41,1638
"450",103,201,1637
"451",197,105,1630
"452",89,99,1617
"453",181,199,1616
"454",61,137,1614
"455",135,21,1613
"456",41,147,1613
"457",121,189,1598
"458",169,17,1595
"459",191,81,1594
"460",81,65,1582
"461",17,167,1579
"462",197,111,1574
"463",143,175,1568
"464",17,169,1567
"465",111,197,1561
"466",75,183,1558
"467",63,91,1550
"468",91,63,1530
"469",137,61,1518
"470",189,121,1502
"471",47,193,1501
"472",183,45,1496
"473",49,25,1493
"474",193,47,1490
"475",179,107,1470
"476",159,25,1463
"477",201,103,1456
"478",189,81,1447
"479",107,179,1446
"480",25,159,1432
"481",39,147,1428
"482",29,45,1427
"483",147,39,1426
"484",135,5,1424
"485",101,159,1419
"486",33,23,1418
"487",119,133,1388
"488",133,119,1386
"489",159,101,1382
"490",131,73,1381
"491",53,105,1379
"492",71,187,1376
"493",189,157,1365
