"","Origin.ID","Destination.ID","Traffic.V"
"1",31,31,13744545
"2",43,43,2403247
"3",197,197,1813707
"4",97,97,1767243
"5",89,89,1026100
"6",201,201,1018231
"7",111,111,958904
"8",19,19,799906
"9",119,119,667180
"10",163,163,604049
"11",167,167,566069
"12",113,113,537311
"13",43,31,498829
"14",31,43,486906
"15",179,179,376950
"16",161,161,370444
"17",91,91,348907
"18",143,143,347677
"19",99,99,346994
"20",115,115,328861
"21",37,37,308118
"22",31,97,269831
"23",97,31,269612
"24",31,197,267960
"25",197,31,266409
"26",1,1,244064
"27",183,183,243721
"28",93,93,242083
"29",43,197,191629
"30",197,43,188331
"31",73,73,180090
"32",95,95,179955
"33",199,199,179454
"34",195,195,178577
"35",29,29,162808
"36",77,77,154446
"37",141,141,139723
"38",177,177,133012
"39",103,103,127252
"40",89,43,126794
"41",43,89,126253
"42",63,63,116565
"43",7,7,112053
"44",89,31,110040
"45",81,81,107440
"46",31,89,107041
"47",105,105,106458
"48",55,55,97561
"49",49,49,96361
"50",109,109,94777
"51",157,157,94481
"52",27,27,93668
"53",137,137,89432
"54",117,117,88919
"55",121,121,86076
"56",57,57,85050
"57",21,21,82069
"58",133,133,79723
"59",89,111,79280
"60",203,203,78891
"61",111,89,78434
"62",107,107,78203
"63",11,11,78038
"64",135,135,75816
"65",75,75,75698
"66",165,165,75258
"67",97,111,70287
"68",111,97,70192
"69",143,179,65070
"70",179,143,62393
"71",85,85,58124
"72",159,159,56404
"73",93,89,56354
"74",89,93,54922
"75",33,33,51225
"76",187,187,50931
"77",39,39,50161
"78",111,31,49588
"79",201,7,49537
"80",31,111,48702
"81",51,51,48679
"82",93,197,48228
"83",41,41,48005
"84",23,23,47642
"85",163,119,47364
"86",7,201,47081
"87",119,163,47000
"88",197,93,46995
"89",181,181,46523
"90",45,45,44353
"91",53,53,43777
"92",145,145,43306
"93",83,83,43244
"94",25,25,39140
"95",173,173,38971
"96",191,191,38721
"97",193,193,38571
"98",5,5,37741
"99",147,147,36859
"100",63,197,36065
"101",197,63,35706
"102",125,125,35396
"103",67,67,35142
"104",15,15,34212
"105",149,149,34174
"106",185,185,31678
"107",93,43,30833
"108",189,189,30388
"109",43,93,30270
"110",101,101,29929
"111",17,17,29633
"112",131,131,28992
"113",139,139,26484
"114",127,127,25937
"115",161,73,24434
"116",123,123,23517
"117",87,87,21765
"118",89,197,21196
"119",197,89,20701
"120",103,195,20669
"121",129,129,20431
"122",37,89,19313
"123",61,61,19009
"124",89,37,18992
"125",201,141,18638
"126",43,97,18132
"127",179,203,17881
"128",99,11,17874
"129",97,43,17820
"130",199,77,17776
"131",79,79,17364
"132",77,199,17289
"133",73,161,17211
"134",141,201,17068
"135",91,197,16671
"136",11,99,16510
"137",203,179,16509
"138",65,65,16347
"139",197,91,15608
"140",169,169,15400
"141",121,27,14279
"142",13,13,13957
"143",35,35,13502
"144",27,121,13268
"145",9,9,12656
"146",55,199,12567
"147",183,19,12539
"148",199,55,12326
"149",163,133,12076
"150",133,163,12050
"151",47,47,11624
"152",195,103,11074
"153",119,117,11071
"154",155,155,10823
"155",103,141,10655
"156",117,119,10570
"157",93,37,10514
"158",37,93,10178
"159",93,31,10034
"160",163,27,9836
"161",141,103,9831
"162",71,71,9806
"163",27,163,9778
"164",111,43,9644
"165",119,83,9553
"166",91,31,9532
"167",31,93,9431
"168",43,111,9375
"169",59,59,9252
"170",75,91,9112
"171",31,91,9108
"172",19,183,9022
"173",91,75,9021
"174",3,3,8954
"175",143,203,8889
"176",89,97,8879
"177",201,177,8839
"178",97,89,8775
"179",203,143,8653
"180",19,147,8629
"181",69,69,8474
"182",177,201,8447
"183",175,175,8417
"184",83,119,8417
"185",153,153,8241
"186",147,19,7921
"187",201,31,7919
"188",37,99,7712
"189",113,203,7694
"190",99,37,7628
"191",167,129,7504
"192",99,105,7394
"193",187,95,7382
"194",203,113,7301
"195",19,41,7179
"196",171,171,7145
"197",105,99,7093
"198",95,187,7048
"199",129,167,6941
"200",31,201,6938
"201",93,99,6865
"202",19,53,6804
"203",113,179,6749
"204",41,19,6674
"205",179,113,6650
"206",53,19,6564
"207",161,131,6558
"208",131,161,6439
"209",117,135,6424
"210",135,117,6401
"211",113,105,6391
"212",141,37,6363
"213",37,141,6296
"214",105,113,6205
"215",99,93,6204
"216",167,21,6099
"217",7,111,6048
"218",151,151,5930
"219",201,111,5784
"220",21,167,5777
"221",63,99,5639
"222",99,63,5599
"223",81,121,5595
"224",111,7,5567
"225",143,57,5538
"226",167,117,5498
"227",37,43,5471
"228",167,137,5416
"229",31,37,5385
"230",57,143,5385
"231",27,119,5330
"232",37,31,5321
"233",43,37,5274
"234",119,27,5267
"235",119,5,5223
"236",157,163,5186
"237",117,167,5184
"238",163,157,5168
"239",81,55,5156
"240",111,201,5035
"241",199,87,5028
"242",39,113,4982
"243",113,39,4973
"244",137,167,4832
"245",55,81,4812
"246",5,119,4797
"247",115,167,4759
"248",87,199,4680
"249",77,145,4627
"250",167,115,4563
"251",201,37,4536
"252",121,81,4531
"253",19,113,4526
"254",145,77,4521
"255",197,97,4520
"256",31,63,4498
"257",157,133,4486
"258",97,197,4469
"259",197,99,4439
"260",199,165,4439
"261",133,157,4434
"262",99,197,4394
"263",63,31,4363
"264",93,63,4193
"265",165,199,4131
"266",37,201,4079
"267",95,73,4079
"268",41,29,4077
"269",99,155,4062
"270",147,115,3998
"271",29,41,3972
"272",113,19,3968
"273",115,147,3955
"274",63,93,3942
"275",167,107,3892
"276",201,89,3824
"277",155,99,3803
"278",53,75,3789
"279",107,167,3788
"280",21,173,3782
"281",115,39,3773
"282",39,115,3695
"283",15,195,3677
"284",143,95,3664
"285",77,181,3645
"286",173,21,3619
"287",143,123,3614
"288",179,125,3608
"289",115,139,3594
"290",177,141,3585
"291",51,49,3583
"292",11,73,3535
"293",49,51,3521
"294",125,179,3504
