"","Origin.ID","Destination.ID","Traffic.V"
"1",31,31,14936569
"2",43,43,2462848
"3",197,197,1952331
"4",97,97,1852828
"5",201,201,1091282
"6",89,89,1050646
"7",111,111,1015837
"8",19,19,766438
"9",119,119,664295
"10",163,163,629926
"11",167,167,580293
"12",43,31,531176
"13",113,113,524977
"14",31,43,515964
"15",99,99,398612
"16",179,179,379225
"17",161,161,376382
"18",91,91,367168
"19",143,143,355995
"20",115,115,342459
"21",37,37,331593
"22",31,97,299383
"23",197,31,296067
"24",31,197,295365
"25",97,31,295307
"26",183,183,256231
"27",1,1,252369
"28",93,93,249087
"29",43,197,204715
"30",197,43,202162
"31",195,195,195710
"32",95,95,190538
"33",199,199,188455
"34",73,73,187327
"35",77,77,174948
"36",29,29,171002
"37",141,141,151437
"38",177,177,146984
"39",103,103,145947
"40",63,63,134365
"41",43,89,132598
"42",89,43,130264
"43",81,81,119786
"44",7,7,118751
"45",105,105,117754
"46",157,157,114899
"47",89,31,113878
"48",31,89,112197
"49",49,49,105172
"50",117,117,101641
"51",55,55,99693
"52",27,27,98528
"53",137,137,96363
"54",109,109,92466
"55",57,57,92275
"56",121,121,89645
"57",11,11,88990
"58",89,111,87163
"59",75,75,86802
"60",203,203,85444
"61",21,21,85315
"62",135,135,85284
"63",107,107,81460
"64",165,165,80039
"65",97,111,79797
"66",111,89,79389
"67",111,97,72427
"68",133,133,72390
"69",143,179,67272
"70",85,85,65506
"71",179,143,64660
"72",159,159,59644
"73",93,89,58778
"74",89,93,58377
"75",31,111,56412
"76",51,51,54867
"77",201,7,54314
"78",187,187,53347
"79",39,39,53282
"80",23,23,52701
"81",33,33,52366
"82",111,31,51808
"83",41,41,51665
"84",7,201,50769
"85",197,93,49953
"86",93,197,49025
"87",53,53,47891
"88",83,83,47748
"89",181,181,47641
"90",45,45,47407
"91",163,119,46674
"92",119,163,46553
"93",145,145,46160
"94",191,191,43248
"95",25,25,42380
"96",147,147,42081
"97",193,193,41331
"98",173,173,40939
"99",63,197,40190
"100",197,63,39332
"101",67,67,39117
"102",5,5,39108
"103",125,125,38211
"104",15,15,37263
"105",149,149,36004
"106",189,189,34107
"107",131,131,33195
"108",43,93,32459
"109",17,17,32239
"110",93,43,31968
"111",101,101,31528
"112",185,185,31466
"113",139,139,28406
"114",127,127,26214
"115",123,123,25930
"116",161,73,24807
"117",197,89,23221
"118",89,197,23134
"119",129,129,22708
"120",103,195,21775
"121",87,87,21727
"122",37,89,21497
"123",79,79,21066
"124",89,37,20478
"125",201,141,20264
"126",61,61,20104
"127",179,203,19925
"128",43,97,19635
"129",199,77,19625
"130",13,13,19606
"131",77,199,19410
"132",99,11,19143
"133",141,201,19056
"134",97,43,19018
"135",91,197,18555
"136",203,179,18235
"137",11,99,18076
"138",65,65,17866
"139",73,161,17353
"140",197,91,16888
"141",169,169,15960
"142",35,35,15161
"143",121,27,14394
"144",199,55,13694
"145",55,199,13656
"146",27,121,13526
"147",183,19,12827
"148",9,9,12812
