Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Trip Duration (sec),Avg All Trip Duration (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Trip Duration 0-10 min (percent),Trip Duration 10-20 min (percent),Trip Duration 20-30 min (percent),Trip Duration 30-40 min (percent),Trip Duration 40-50 min (percent),Trip Duration 50-60 min (percent),Trip Duration 60-70 min (percent),Trip Duration 70-80 min (percent),Trip Duration 80-90 min (percent),Trip Duration 90-100 min (percent),Trip Duration 100-110 min (percent),Trip Duration 110-120 min (percent),Trip Duration 120-130 min (percent),Trip Duration 130-140 min (percent),Trip Duration 140-150 min (percent),Trip Duration 150+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-5 mi (percent),Trip Length 5-10 mi (percent),Trip Length 10-20 mi (percent),Trip Length 20-30 mi (percent),Trip Length 30-40 mi (percent),Trip Length 40-50 mi (percent),Trip Length 50-60 mi (percent),Trip Length 60-70 mi (percent),Trip Length 70-80 mi (percent),Trip Length 80-90 mi (percent),Trip Length 90-100 mi (percent),Trip Length 100+ mi (percent),Trip Speed 0-10 mph (percent),Trip Speed 10-20 mph (percent),Trip Speed 20-30 mph (percent),Trip Speed 30-40 mph (percent),Trip Speed 40-50 mph (percent),Trip Speed 50-60 mph (percent),Trip Speed 60-70 mph (percent),Trip Speed 70-80 mph (percent),Trip Speed 80-90 mph (percent),Trip Speed 90+ mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
All Vehicles - StL All Vehicles Volume,Origin,1,ADAMS,no,N/A,no,2: Weekend Day (Sa-Su),2: Mid-Day (10am-3pm),94285,1593,1655,9.2,9.3,16,16,2.039,0.162,0.327,0.210,0.120,0.069,0.039,0.022,0.014,0.009,0.006,0.004,0.004,0.003,0.002,0.002,0.007,0.086,0.174,0.363,0.171,0.099,0.051,0.020,0.010,0.006,0.003,0.002,0.002,0.001,0.012,0.380,0.345,0.142,0.069,0.040,0.019,0.005,0.000,0.000,0.000,0.813,0.096,0.031,0.017,0.010,0.033
All Vehicles - StL All Vehicles Volume,Origin,1,ADAMS,no,N/A,no,2: Weekend Day (Sa-Su),3: Peak PM (3pm-7pm),67380,1555,1614,9.0,9.1,17,17,2.017,0.166,0.328,0.208,0.119,0.068,0.039,0.024,0.014,0.009,0.006,0.004,0.003,0.002,0.002,0.002,0.006,0.085,0.170,0.359,0.174,0.101,0.055,0.022,0.011,0.007,0.003,0.002,0.001,0.001,0.009,0.362,0.344,0.153,0.077,0.043,0.017,0.004,0.000,0.000,0.000,0.824,0.087,0.030,0.016,0.010,0.033
All Vehicles - StL All Vehicles Volume,Origin,101,LAWRENCE,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),39966,1699,1772,10.8,11.1,19,19,2.208,0.158,0.289,0.211,0.131,0.077,0.045,0.026,0.017,0.012,0.009,0.006,0.004,0.003,0.002,0.002,0.008,0.119,0.153,0.220,0.173,0.187,0.078,0.026,0.014,0.007,0.008,0.005,0.002,0.001,0.007,0.328,0.259,0.190,0.132,0.069,0.018,0.003,0.001,0.000,0.000,0.814,0.091,0.031,0.017,0.010,0.037
All Vehicles - StL All Vehicles Volume,Origin,101,LAWRENCE,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),7380,1842,1916,12.6,12.8,20,20,2.202,0.139,0.275,0.210,0.140,0.084,0.047,0.028,0.019,0.014,0.012,0.007,0.005,0.004,0.003,0.002,0.011,0.104,0.135,0.203,0.170,0.214,0.090,0.028,0.013,0.008,0.011,0.008,0.003,0.002,0.011,0.302,0.250,0.196,0.146,0.080,0.023,0.003,0.000,0.000,0.000,0.809,0.095,0.033,0.017,0.010,0.036
All Vehicles - StL All Vehicles Volume,Origin,101,LAWRENCE,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),12151,1711,1794,10.6,11.0,18,18,2.263,0.162,0.289,0.207,0.124,0.075,0.046,0.027,0.017,0.012,0.011,0.008,0.005,0.004,0.002,0.002,0.009,0.126,0.168,0.224,0.161,0.179,0.071,0.024,0.013,0.007,0.009,0.006,0.002,0.002,0.008,0.354,0.258,0.182,0.122,0.063,0.017,0.003,0.001,0.000,0.000,0.801,0.095,0.033,0.019,0.011,0.041
All Vehicles - StL All Vehicles Volume,Origin,101,LAWRENCE,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),12789,1607,1669,9.7,10.0,19,19,2.160,0.161,0.294,0.218,0.133,0.075,0.044,0.026,0.015,0.011,0.007,0.005,0.003,0.002,0.001,0.001,0.004,0.122,0.156,0.224,0.184,0.179,0.076,0.027,0.012,0.006,0.005,0.003,0.001,0.001,0.004,0.332,0.268,0.193,0.127,0.063,0.015,0.002,0.000,0.000,0.000,0.816,0.092,0.031,0.016,0.010,0.035
All Vehicles - StL All Vehicles Volume,Origin,101,LAWRENCE,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),40538,1666,1743,10.4,10.7,19,19,2.213,0.161,0.291,0.210,0.131,0.077,0.044,0.026,0.016,0.011,0.009,0.006,0.004,0.003,0.002,0.001,0.008,0.120,0.156,0.225,0.172,0.183,0.078,0.026,0.014,0.006,0.007,0.004,0.002,0.001,0.006,0.331,0.261,0.189,0.131,0.067,0.017,0.003,0.001,0.000,0.000,0.807,0.093,0.032,0.018,0.011,0.039
All Vehicles - StL All Vehicles Volume,Origin,101,LAWRENCE,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),8130,1790,1873,11.9,12.2,20,20,2.213,0.137,0.275,0.215,0.143,0.087,0.047,0.026,0.017,0.013,0.011,0.007,0.004,0.004,0.003,0.002,0.009,0.102,0.137,0.205,0.168,0.221,0.093,0.027,0.012,0.006,0.009,0.007,0.002,0.002,0.009,0.304,0.250,0.198,0.147,0.077,0.021,0.003,0.000,0.000,0.000,0.803,0.098,0.033,0.018,0.010,0.038
All Vehicles - StL All Vehicles Volume,Origin,101,LAWRENCE,no,N/A,no,1: Weekday (M-Th),2: Mid-Day (10am-3pm),11526,1670,1764,10.0,10.4,18,18,2.304,0.170,0.295,0.202,0.122,0.073,0.045,0.026,0.017,0.012,0.010,0.007,0.005,0.004,0.002,0.001,0.009,0.132,0.178,0.231,0.157,0.168,0.067,0.023,0.012,0.007,0.008,0.006,0.002,0.002,0.007,0.372,0.261,0.176,0.115,0.058,0.015,0.002,0.001,0.000,0.000,0.789,0.098,0.036,0.020,0.012,0.045
All Vehicles - StL All Vehicles Volume,Origin,101,LAWRENCE,no,N/A,no,1: Weekday (M-Th),3: Peak PM (3pm-7pm),13671,1564,1625,9.3,9.6,19,19,2.172,0.165,0.297,0.219,0.131,0.075,0.042,0.025,0.015,0.010,0.006,0.004,0.003,0.002,0.001,0.001,0.004,0.123,0.158,0.228,0.187,0.172,0.076,0.027,0.012,0.005,0.004,0.003,0.001,0.001,0.003,0.332,0.271,0.194,0.126,0.062,0.013,0.002,0.000,0.000,0.000,0.813,0.093,0.031,0.017,0.010,0.036
