Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Trip Duration (sec),Avg All Trip Duration (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Trip Duration 0-10 min (percent),Trip Duration 10-20 min (percent),Trip Duration 20-30 min (percent),Trip Duration 30-40 min (percent),Trip Duration 40-50 min (percent),Trip Duration 50-60 min (percent),Trip Duration 60-70 min (percent),Trip Duration 70-80 min (percent),Trip Duration 80-90 min (percent),Trip Duration 90-100 min (percent),Trip Duration 100-110 min (percent),Trip Duration 110-120 min (percent),Trip Duration 120-130 min (percent),Trip Duration 130-140 min (percent),Trip Duration 140-150 min (percent),Trip Duration 150+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-5 mi (percent),Trip Length 5-10 mi (percent),Trip Length 10-20 mi (percent),Trip Length 20-30 mi (percent),Trip Length 30-40 mi (percent),Trip Length 40-50 mi (percent),Trip Length 50-60 mi (percent),Trip Length 60-70 mi (percent),Trip Length 70-80 mi (percent),Trip Length 80-90 mi (percent),Trip Length 90-100 mi (percent),Trip Length 100+ mi (percent),Trip Speed 0-10 mph (percent),Trip Speed 10-20 mph (percent),Trip Speed 20-30 mph (percent),Trip Speed 30-40 mph (percent),Trip Speed 40-50 mph (percent),Trip Speed 50-60 mph (percent),Trip Speed 60-70 mph (percent),Trip Speed 70-80 mph (percent),Trip Speed 80-90 mph (percent),Trip Speed 90+ mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
All Vehicles - StL All Vehicles Volume,Origin,17,CASS,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),8417,1941,2013,14.8,14.9,21,21,2.210,0.150,0.252,0.179,0.137,0.091,0.065,0.042,0.024,0.014,0.011,0.007,0.006,0.004,0.003,0.003,0.012,0.155,0.137,0.179,0.108,0.156,0.126,0.055,0.037,0.016,0.007,0.005,0.004,0.003,0.012,0.347,0.184,0.156,0.170,0.112,0.026,0.004,0.001,0.000,0.000,0.817,0.085,0.032,0.018,0.010,0.038
All Vehicles - StL All Vehicles Volume,Origin,17,CASS,no,N/A,no,1: Weekday (M-Th),2: Mid-Day (10am-3pm),11176,1805,1893,12.4,12.6,18,18,2.371,0.181,0.277,0.185,0.117,0.072,0.049,0.034,0.024,0.014,0.011,0.008,0.005,0.004,0.003,0.003,0.013,0.173,0.169,0.218,0.103,0.155,0.073,0.039,0.028,0.013,0.007,0.005,0.004,0.002,0.011,0.411,0.215,0.145,0.128,0.080,0.018,0.002,0.001,0.000,0.000,0.789,0.097,0.037,0.020,0.013,0.044
All Vehicles - StL All Vehicles Volume,Origin,17,CASS,no,N/A,no,1: Weekday (M-Th),3: Peak PM (3pm-7pm),12239,1678,1744,11.3,11.4,19,18,2.157,0.180,0.286,0.188,0.127,0.079,0.048,0.029,0.019,0.012,0.008,0.007,0.004,0.003,0.002,0.001,0.007,0.180,0.166,0.205,0.109,0.165,0.088,0.037,0.019,0.010,0.007,0.003,0.003,0.001,0.007,0.404,0.205,0.152,0.137,0.080,0.018,0.003,0.001,0.000,0.000,0.803,0.091,0.037,0.019,0.011,0.039
All Vehicles - StL All Vehicles Volume,Origin,17,CASS,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),35500,1840,1899,13.3,13.3,20,19,2.156,0.168,0.274,0.191,0.124,0.079,0.050,0.033,0.022,0.015,0.010,0.007,0.005,0.004,0.003,0.003,0.012,0.163,0.150,0.207,0.117,0.162,0.085,0.041,0.029,0.013,0.008,0.005,0.004,0.003,0.013,0.373,0.209,0.158,0.139,0.092,0.024,0.004,0.001,0.000,0.000,0.819,0.085,0.033,0.017,0.010,0.036
All Vehicles - StL All Vehicles Volume,Origin,17,CASS,no,N/A,no,2: Weekend Day (Sa-Su),1: Peak AM (6am-10am),5514,2049,2110,15.7,15.7,21,20,2.207,0.158,0.249,0.185,0.123,0.088,0.055,0.036,0.026,0.014,0.013,0.010,0.007,0.007,0.005,0.005,0.019,0.152,0.143,0.191,0.114,0.167,0.091,0.050,0.033,0.014,0.008,0.006,0.005,0.004,0.022,0.354,0.205,0.152,0.145,0.105,0.031,0.006,0.002,0.000,0.000,0.814,0.087,0.033,0.018,0.010,0.038
All Vehicles - StL All Vehicles Volume,Origin,17,CASS,no,N/A,no,2: Weekend Day (Sa-Su),2: Mid-Day (10am-3pm),13257,1878,1934,13.6,13.6,20,20,2.178,0.164,0.268,0.188,0.126,0.080,0.053,0.036,0.024,0.016,0.012,0.008,0.005,0.004,0.003,0.002,0.011,0.160,0.148,0.207,0.113,0.159,0.091,0.043,0.031,0.014,0.010,0.005,0.004,0.002,0.013,0.371,0.205,0.155,0.144,0.096,0.025,0.004,0.000,0.000,0.000,0.822,0.082,0.033,0.016,0.011,0.036
All Vehicles - StL All Vehicles Volume,Origin,17,CASS,no,N/A,no,2: Weekend Day (Sa-Su),3: Peak PM (3pm-7pm),9335,1773,1825,12.3,12.3,20,19,2.066,0.169,0.269,0.198,0.133,0.079,0.051,0.030,0.021,0.015,0.009,0.007,0.004,0.003,0.002,0.002,0.008,0.158,0.149,0.213,0.118,0.175,0.086,0.037,0.025,0.014,0.006,0.004,0.003,0.002,0.010,0.372,0.205,0.173,0.138,0.087,0.022,0.003,0.000,0.000,0.000,0.821,0.085,0.034,0.018,0.010,0.032
All Vehicles - StL All Vehicles Volume,Origin,171,SCOTT,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),11106,1862,1948,14.5,15.0,23,23,2.457,0.151,0.247,0.205,0.140,0.085,0.055,0.037,0.023,0.015,0.010,0.007,0.006,0.004,0.003,0.002,0.010,0.151,0.104,0.133,0.160,0.233,0.105,0.032,0.024,0.027,0.011,0.004,0.003,0.003,0.010,0.279,0.189,0.205,0.170,0.105,0.040,0.011,0.001,0.000,0.000,0.801,0.093,0.034,0.017,0.011,0.044
All Vehicles - StL All Vehicles Volume,Origin,171,SCOTT,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),2514,2013,2102,17.6,18.0,26,26,2.296,0.126,0.220,0.213,0.160,0.087,0.059,0.046,0.025,0.017,0.010,0.007,0.006,0.005,0.004,0.003,0.012,0.111,0.089,0.120,0.149,0.258,0.125,0.028,0.028,0.051,0.015,0.004,0.004,0.004,0.014,0.219,0.175,0.209,0.183,0.132,0.062,0.018,0.002,0.000,0.000,0.820,0.084,0.029,0.017,0.009,0.041
All Vehicles - StL All Vehicles Volume,Origin,171,SCOTT,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),3266,1901,2004,14.3,14.9,22,22,2.565,0.154,0.249,0.198,0.130,0.084,0.057,0.038,0.024,0.014,0.013,0.008,0.007,0.005,0.004,0.003,0.012,0.157,0.112,0.136,0.156,0.226,0.101,0.029,0.025,0.022,0.010,0.006,0.004,0.003,0.013,0.300,0.196,0.206,0.160,0.094,0.034,0.009,0.001,0.000,0.000,0.784,0.101,0.035,0.019,0.013,0.048
All Vehicles - StL All Vehicles Volume,Origin,171,SCOTT,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),3298,1781,1857,13.2,13.5,22,22,2.531,0.154,0.255,0.207,0.139,0.086,0.055,0.034,0.023,0.016,0.008,0.005,0.005,0.003,0.002,0.001,0.007,0.159,0.106,0.132,0.168,0.233,0.099,0.037,0.022,0.019,0.009,0.004,0.003,0.002,0.007,0.287,0.193,0.210,0.172,0.099,0.030,0.008,0.001,0.000,0.000,0.796,0.098,0.033,0.017,0.012,0.044
All Vehicles - StL All Vehicles Volume,Origin,171,SCOTT,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),11272,1789,1884,13.6,14.1,23,23,2.434,0.159,0.248,0.206,0.140,0.084,0.053,0.036,0.022,0.014,0.009,0.006,0.006,0.004,0.003,0.002,0.008,0.159,0.106,0.138,0.158,0.229,0.105,0.030,0.022,0.028,0.009,0.004,0.002,0.002,0.008,0.290,0.190,0.203,0.167,0.101,0.038,0.010,0.001,0.000,0.000,0.797,0.094,0.034,0.018,0.012,0.045
All Vehicles - StL All Vehicles Volume,Origin,171,SCOTT,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),2807,1965,2056,17.2,17.6,26,26,2.225,0.125,0.215,0.217,0.167,0.088,0.061,0.047,0.025,0.015,0.010,0.007,0.005,0.004,0.003,0.002,0.009,0.116,0.083,0.117,0.144,0.263,0.132,0.026,0.028,0.058,0.013,0.004,0.003,0.003,0.010,0.219,0.167,0.206,0.185,0.137,0.065,0.019,0.002,0.000,0.000,0.823,0.082,0.028,0.016,0.011,0.040
All Vehicles - StL All Vehicles Volume,Origin,171,SCOTT,no,N/A,no,1: Weekday (M-Th),2: Mid-Day (10am-3pm),2953,1818,1946,12.9,13.9,21,21,2.634,0.164,0.258,0.197,0.126,0.081,0.055,0.036,0.021,0.014,0.010,0.009,0.007,0.005,0.004,0.002,0.011,0.166,0.114,0.147,0.163,0.211,0.097,0.029,0.021,0.019,0.008,0.006,0.003,0.004,0.012,0.312,0.208,0.210,0.151,0.082,0.029,0.007,0.001,0.000,0.000,0.772,0.105,0.037,0.020,0.014,0.052
All Vehicles - StL All Vehicles Volume,Origin,171,SCOTT,no,N/A,no,1: Weekday (M-Th),3: Peak PM (3pm-7pm),3531,1698,1781,11.9,12.2,21,21,2.494,0.165,0.258,0.206,0.141,0.086,0.052,0.031,0.021,0.014,0.007,0.004,0.005,0.002,0.002,0.001,0.005,0.172,0.114,0.137,0.164,0.229,0.097,0.034,0.021,0.015,0.006,0.003,0.002,0.001,0.005,0.304,0.197,0.207,0.170,0.089,0.025,0.007,0.001,0.000,0.000,0.785,0.102,0.035,0.019,0.014,0.045
All Vehicles - StL All Vehicles Volume,Origin,171,SCOTT,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),10026,1989,2050,16.2,16.4,24,24,2.422,0.137,0.238,0.207,0.140,0.089,0.057,0.038,0.025,0.017,0.013,0.008,0.007,0.005,0.004,0.003,0.012,0.132,0.102,0.124,0.164,0.241,0.106,0.038,0.027,0.024,0.014,0.005,0.006,0.003,0.014,0.257,0.188,0.209,0.177,0.113,0.044,0.011,0.001,0.000,0.000,0.812,0.092,0.033,0.016,0.009,0.038
All Vehicles - StL All Vehicles Volume,Origin,171,SCOTT,no,N/A,no,2: Weekend Day (Sa-Su),1: Peak AM (6am-10am),1668,2155,2213,18.4,18.6,25,24,2.403,0.134,0.240,0.208,0.134,0.084,0.049,0.035,0.023,0.018,0.012,0.010,0.009,0.008,0.008,0.005,0.023,0.107,0.106,0.130,0.168,0.251,0.100,0.032,0.020,0.022,0.016,0.005,0.009,0.006,0.028,0.224,0.203,0.226,0.171,0.109,0.053,0.012,0.002,0.000,0.000,0.812,0.096,0.028,0.018,0.004,0.042
All Vehicles - StL All Vehicles Volume,Origin,171,SCOTT,no,N/A,no,2: Weekend Day (Sa-Su),2: Mid-Day (10am-3pm),3838,2035,2094,16.6,16.7,24,24,2.364,0.139,0.221,0.207,0.141,0.090,0.062,0.040,0.028,0.017,0.017,0.008,0.007,0.004,0.004,0.004,0.011,0.137,0.104,0.117,0.147,0.247,0.112,0.032,0.034,0.028,0.014,0.005,0.006,0.003,0.014,0.263,0.177,0.205,0.185,0.112,0.045,0.011,0.002,0.000,0.000,0.808,0.094,0.032,0.016,0.010,0.040
All Vehicles - StL All Vehicles Volume,Origin,171,SCOTT,no,N/A,no,2: Weekend Day (Sa-Su),3: Peak PM (3pm-7pm),2591,1952,2010,15.8,15.9,24,24,2.489,0.126,0.246,0.209,0.140,0.090,0.060,0.040,0.027,0.020,0.012,0.007,0.005,0.006,0.003,0.000,0.009,0.120,0.097,0.120,0.177,0.248,0.102,0.045,0.025,0.026,0.015,0.007,0.005,0.004,0.009,0.243,0.186,0.214,0.181,0.122,0.042,0.011,0.001,0.000,0.000,0.816,0.091,0.033,0.016,0.008,0.036
All Vehicles - StL All Vehicles Volume,Origin,173,SHELBY,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),55924,1819,1883,12.7,12.8,20,20,2.170,0.153,0.274,0.198,0.130,0.083,0.053,0.033,0.021,0.015,0.010,0.007,0.005,0.004,0.003,0.002,0.009,0.133,0.153,0.192,0.158,0.170,0.090,0.045,0.021,0.011,0.007,0.005,0.003,0.002,0.010,0.342,0.224,0.177,0.145,0.082,0.024,0.005,0.001,0.000,0.000,0.806,0.094,0.034,0.019,0.011,0.036
All Vehicles - StL All Vehicles Volume,Origin,173,SHELBY,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),11105,1980,2032,15.1,15.2,22,22,2.074,0.129,0.256,0.196,0.143,0.093,0.060,0.037,0.022,0.016,0.011,0.008,0.005,0.005,0.004,0.003,0.012,0.116,0.130,0.170,0.156,0.181,0.117,0.055,0.026,0.013,0.009,0.005,0.004,0.003,0.015,0.297,0.204,0.186,0.171,0.104,0.031,0.006,0.001,0.000,0.000,0.829,0.086,0.029,0.017,0.010,0.029
All Vehicles - StL All Vehicles Volume,Origin,173,SHELBY,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),17936,1841,1920,12.4,12.5,19,19,2.230,0.157,0.274,0.194,0.123,0.080,0.053,0.034,0.023,0.015,0.011,0.008,0.006,0.005,0.003,0.003,0.011,0.144,0.168,0.199,0.149,0.161,0.078,0.042,0.018,0.010,0.008,0.005,0.003,0.003,0.012,0.378,0.229,0.167,0.128,0.071,0.021,0.005,0.001,0.000,0.000,0.792,0.099,0.037,0.020,0.012,0.040
All Vehicles - StL All Vehicles Volume,Origin,173,SHELBY,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),17098,1723,1786,11.3,11.4,19,19,2.193,0.156,0.284,0.204,0.130,0.080,0.051,0.031,0.019,0.014,0.009,0.006,0.004,0.003,0.002,0.001,0.006,0.132,0.160,0.202,0.165,0.170,0.084,0.039,0.018,0.010,0.006,0.004,0.002,0.001,0.007,0.353,0.234,0.179,0.137,0.073,0.020,0.004,0.000,0.000,0.000,0.799,0.096,0.037,0.020,0.011,0.037
All Vehicles - StL All Vehicles Volume,Origin,173,SHELBY,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),52891,1764,1829,12.1,12.2,20,20,2.151,0.160,0.281,0.195,0.129,0.081,0.052,0.032,0.021,0.013,0.009,0.007,0.004,0.004,0.002,0.002,0.008,0.136,0.160,0.191,0.154,0.167,0.091,0.046,0.020,0.011,0.007,0.004,0.003,0.002,0.008,0.346,0.222,0.178,0.146,0.081,0.022,0.004,0.001,0.000,0.000,0.811,0.090,0.034,0.019,0.011,0.035
All Vehicles - StL All Vehicles Volume,Origin,173,SHELBY,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),11691,1930,1984,14.5,14.6,22,22,2.072,0.131,0.254,0.196,0.147,0.096,0.062,0.037,0.022,0.014,0.011,0.007,0.004,0.004,0.003,0.002,0.010,0.114,0.131,0.170,0.155,0.181,0.123,0.057,0.027,0.013,0.008,0.004,0.004,0.002,0.011,0.293,0.202,0.191,0.175,0.104,0.029,0.005,0.001,0.000,0.000,0.828,0.086,0.029,0.017,0.011,0.029
All Vehicles - StL All Vehicles Volume,Origin,173,SHELBY,no,N/A,no,1: Weekday (M-Th),2: Mid-Day (10am-3pm),15472,1760,1848,11.4,11.6,18,18,2.253,0.171,0.286,0.189,0.118,0.076,0.051,0.033,0.021,0.013,0.010,0.007,0.005,0.005,0.003,0.002,0.010,0.157,0.182,0.200,0.140,0.154,0.073,0.041,0.017,0.009,0.007,0.004,0.003,0.003,0.010,0.397,0.231,0.163,0.122,0.064,0.018,0.004,0.001,0.000,0.000,0.795,0.096,0.036,0.020,0.012,0.041
All Vehicles - StL All Vehicles Volume,Origin,173,SHELBY,no,N/A,no,1: Weekday (M-Th),3: Peak PM (3pm-7pm),16750,1651,1711,10.6,10.7,19,19,2.167,0.166,0.291,0.202,0.128,0.076,0.049,0.030,0.019,0.013,0.007,0.005,0.004,0.003,0.002,0.001,0.004,0.138,0.168,0.202,0.162,0.166,0.082,0.039,0.017,0.009,0.006,0.003,0.002,0.001,0.005,0.359,0.232,0.180,0.136,0.072,0.018,0.003,0.000,0.000,0.000,0.805,0.093,0.036,0.019,0.011,0.036
All Vehicles - StL All Vehicles Volume,Origin,173,SHELBY,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),58679,1928,1985,14.0,14.0,21,20,2.170,0.139,0.266,0.200,0.132,0.084,0.054,0.035,0.022,0.017,0.012,0.009,0.006,0.005,0.004,0.003,0.012,0.123,0.139,0.193,0.167,0.174,0.089,0.044,0.022,0.012,0.009,0.007,0.004,0.003,0.014,0.330,0.226,0.176,0.146,0.087,0.028,0.006,0.001,0.000,0.000,0.803,0.097,0.035,0.019,0.010,0.036
All Vehicles - StL All Vehicles Volume,Origin,173,SHELBY,no,N/A,no,2: Weekend Day (Sa-Su),1: Peak AM (6am-10am),9371,2125,2167,17.0,17.0,22,22,2.022,0.125,0.261,0.195,0.134,0.082,0.056,0.036,0.024,0.020,0.013,0.010,0.008,0.008,0.005,0.004,0.019,0.119,0.126,0.172,0.160,0.173,0.103,0.051,0.025,0.015,0.013,0.009,0.006,0.003,0.025,0.299,0.206,0.178,0.159,0.108,0.039,0.010,0.001,0.000,0.000,0.833,0.083,0.030,0.017,0.009,0.028
All Vehicles - StL All Vehicles Volume,Origin,173,SHELBY,no,N/A,no,2: Weekend Day (Sa-Su),2: Mid-Day (10am-3pm),22819,1960,2023,14.0,14.0,20,20,2.161,0.137,0.263,0.200,0.130,0.085,0.055,0.036,0.025,0.018,0.012,0.010,0.006,0.005,0.003,0.003,0.012,0.124,0.143,0.195,0.165,0.173,0.086,0.043,0.021,0.012,0.009,0.007,0.004,0.003,0.015,0.342,0.229,0.173,0.139,0.082,0.028,0.006,0.001,0.000,0.000,0.796,0.100,0.036,0.019,0.011,0.038
All Vehicles - StL All Vehicles Volume,Origin,173,SHELBY,no,N/A,no,2: Weekend Day (Sa-Su),3: Peak PM (3pm-7pm),16613,1878,1942,12.9,13.0,20,20,2.234,0.137,0.262,0.203,0.133,0.090,0.055,0.036,0.021,0.018,0.012,0.008,0.006,0.005,0.004,0.002,0.008,0.120,0.143,0.198,0.173,0.172,0.087,0.042,0.023,0.011,0.009,0.006,0.004,0.002,0.010,0.338,0.235,0.176,0.141,0.079,0.025,0.005,0.001,0.000,0.000,0.792,0.101,0.037,0.021,0.011,0.038
All Vehicles - StL All Vehicles Volume,Origin,175,STARK,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),13318,1846,1906,13.9,14.1,22,22,2.121,0.152,0.261,0.192,0.125,0.092,0.065,0.040,0.024,0.014,0.010,0.007,0.004,0.003,0.002,0.002,0.007,0.181,0.102,0.100,0.182,0.192,0.104,0.067,0.036,0.013,0.007,0.005,0.003,0.001,0.007,0.301,0.172,0.192,0.187,0.113,0.030,0.004,0.001,0.000,0.000,0.854,0.069,0.025,0.013,0.008,0.031
All Vehicles - StL All Vehicles Volume,Origin,175,STARK,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),3104,1947,2009,15.5,15.6,24,24,2.046,0.128,0.249,0.196,0.130,0.104,0.073,0.042,0.025,0.015,0.010,0.006,0.005,0.003,0.003,0.002,0.009,0.143,0.087,0.093,0.206,0.193,0.127,0.074,0.041,0.012,0.006,0.005,0.003,0.001,0.009,0.252,0.173,0.207,0.200,0.128,0.035,0.004,0.001,0.000,0.000,0.864,0.063,0.020,0.012,0.009,0.032
All Vehicles - StL All Vehicles Volume,Origin,175,STARK,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),4250,1876,1954,14.0,14.3,22,22,2.286,0.160,0.252,0.182,0.124,0.091,0.066,0.043,0.025,0.016,0.011,0.008,0.004,0.004,0.003,0.002,0.009,0.196,0.104,0.101,0.165,0.189,0.101,0.071,0.035,0.013,0.008,0.005,0.003,0.002,0.007,0.319,0.170,0.186,0.185,0.106,0.029,0.004,0.001,0.000,0.000,0.840,0.077,0.026,0.014,0.009,0.034
All Vehicles - StL All Vehicles Volume,Origin,175,STARK,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),3871,1762,1815,12.8,13.0,22,22,2.067,0.157,0.266,0.202,0.127,0.088,0.060,0.035,0.022,0.014,0.009,0.006,0.004,0.003,0.002,0.001,0.004,0.185,0.112,0.106,0.182,0.198,0.098,0.057,0.033,0.012,0.006,0.004,0.002,0.001,0.004,0.313,0.179,0.188,0.183,0.107,0.026,0.003,0.001,0.000,0.000,0.851,0.069,0.027,0.014,0.008,0.031
All Vehicles - StL All Vehicles Volume,Origin,175,STARK,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),13865,1799,1865,13.2,13.4,22,22,2.123,0.158,0.266,0.192,0.122,0.089,0.064,0.039,0.024,0.014,0.009,0.006,0.004,0.003,0.002,0.002,0.006,0.190,0.105,0.101,0.188,0.186,0.099,0.066,0.034,0.012,0.006,0.004,0.002,0.002,0.005,0.313,0.174,0.192,0.184,0.106,0.026,0.004,0.001,0.000,0.000,0.849,0.072,0.025,0.013,0.009,0.032
All Vehicles - StL All Vehicles Volume,Origin,175,STARK,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),3436,1909,1969,14.8,15.0,24,24,2.012,0.129,0.251,0.196,0.126,0.108,0.074,0.044,0.024,0.014,0.009,0.006,0.004,0.004,0.003,0.002,0.006,0.143,0.092,0.090,0.210,0.185,0.130,0.076,0.043,0.011,0.005,0.004,0.003,0.002,0.006,0.253,0.173,0.211,0.202,0.126,0.031,0.003,0.001,0.000,0.000,0.860,0.065,0.021,0.013,0.010,0.031
All Vehicles - StL All Vehicles Volume,Origin,175,STARK,no,N/A,no,1: Weekday (M-Th),2: Mid-Day (10am-3pm),4134,1830,1923,13.3,13.6,21,21,2.338,0.172,0.258,0.182,0.117,0.085,0.064,0.040,0.026,0.016,0.012,0.007,0.003,0.003,0.002,0.003,0.010,0.218,0.108,0.102,0.163,0.180,0.091,0.069,0.033,0.011,0.008,0.005,0.003,0.002,0.007,0.345,0.170,0.184,0.176,0.094,0.026,0.004,0.001,0.000,0.000,0.825,0.085,0.029,0.013,0.010,0.038
All Vehicles - StL All Vehicles Volume,Origin,175,STARK,no,N/A,no,1: Weekday (M-Th),3: Peak PM (3pm-7pm),4161,1672,1733,11.7,11.9,21,21,2.071,0.165,0.278,0.207,0.126,0.081,0.054,0.032,0.021,0.012,0.007,0.005,0.004,0.003,0.001,0.001,0.003,0.192,0.119,0.108,0.196,0.195,0.090,0.050,0.028,0.009,0.004,0.003,0.002,0.001,0.003,0.325,0.187,0.187,0.179,0.097,0.021,0.003,0.001,0.000,0.000,0.847,0.071,0.027,0.015,0.008,0.032
All Vehicles - StL All Vehicles Volume,Origin,175,STARK,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),11465,1943,1982,15.4,15.4,24,23,2.006,0.146,0.246,0.187,0.131,0.098,0.067,0.043,0.024,0.016,0.011,0.008,0.005,0.004,0.003,0.002,0.009,0.169,0.097,0.102,0.161,0.200,0.116,0.070,0.040,0.016,0.008,0.007,0.003,0.001,0.010,0.286,0.159,0.187,0.194,0.130,0.039,0.005,0.000,0.000,0.000,0.867,0.061,0.024,0.012,0.008,0.028
All Vehicles - StL All Vehicles Volume,Origin,175,STARK,no,N/A,no,2: Weekend Day (Sa-Su),1: Peak AM (6am-10am),2319,2072,2121,17.5,17.5,25,25,2.020,0.129,0.236,0.197,0.139,0.096,0.071,0.039,0.024,0.016,0.015,0.007,0.006,0.002,0.003,0.003,0.017,0.146,0.083,0.100,0.176,0.213,0.117,0.071,0.040,0.012,0.011,0.007,0.004,0.001,0.019,0.255,0.160,0.199,0.196,0.134,0.050,0.005,0.001,0.000,0.000,0.880,0.056,0.018,0.009,0.007,0.030
All Vehicles - StL All Vehicles Volume,Origin,175,STARK,no,N/A,no,2: Weekend Day (Sa-Su),2: Mid-Day (10am-3pm),4318,1982,2021,15.5,15.5,24,23,1.999,0.141,0.241,0.177,0.136,0.103,0.066,0.050,0.026,0.017,0.012,0.009,0.007,0.004,0.003,0.001,0.007,0.164,0.093,0.100,0.160,0.202,0.121,0.075,0.042,0.017,0.007,0.007,0.003,0.001,0.008,0.281,0.161,0.184,0.208,0.129,0.032,0.005,0.000,0.000,0.000,0.869,0.061,0.023,0.014,0.008,0.025
All Vehicles - StL All Vehicles Volume,Origin,175,STARK,no,N/A,no,2: Weekend Day (Sa-Su),3: Peak PM (3pm-7pm),3074,1900,1938,14.8,14.8,23,23,2.034,0.151,0.242,0.191,0.129,0.100,0.070,0.039,0.022,0.018,0.012,0.009,0.004,0.004,0.002,0.002,0.005,0.177,0.103,0.105,0.147,0.200,0.120,0.065,0.043,0.015,0.010,0.006,0.002,0.000,0.007,0.301,0.157,0.190,0.180,0.128,0.040,0.004,0.000,0.000,0.000,0.862,0.065,0.026,0.011,0.007,0.029
All Vehicles - StL All Vehicles Volume,Origin,177,STEPHENSON,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),157094,1627,1691,10.0,10.1,18,18,2.097,0.165,0.311,0.207,0.120,0.071,0.044,0.026,0.016,0.010,0.007,0.005,0.004,0.003,0.002,0.002,0.007,0.097,0.183,0.305,0.139,0.138,0.059,0.032,0.019,0.008,0.005,0.003,0.002,0.002,0.008,0.373,0.288,0.153,0.108,0.059,0.016,0.003,0.000,0.000,0.000,0.815,0.091,0.032,0.017,0.010,0.035
All Vehicles - StL All Vehicles Volume,Origin,177,STEPHENSON,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),30098,1763,1829,12.0,12.1,19,19,2.101,0.151,0.297,0.205,0.120,0.075,0.050,0.030,0.019,0.012,0.009,0.007,0.005,0.004,0.003,0.003,0.010,0.088,0.161,0.290,0.141,0.149,0.066,0.042,0.026,0.010,0.006,0.004,0.003,0.002,0.012,0.334,0.282,0.160,0.125,0.074,0.020,0.004,0.001,0.000,0.000,0.825,0.085,0.031,0.016,0.010,0.033
All Vehicles - StL All Vehicles Volume,Origin,177,STEPHENSON,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),51586,1646,1720,9.6,9.8,17,16,2.143,0.164,0.312,0.205,0.117,0.070,0.044,0.027,0.017,0.011,0.008,0.006,0.004,0.003,0.002,0.002,0.008,0.099,0.199,0.322,0.129,0.120,0.054,0.030,0.019,0.008,0.005,0.003,0.002,0.002,0.008,0.411,0.288,0.139,0.094,0.051,0.014,0.003,0.000,0.000,0.000,0.803,0.097,0.034,0.018,0.011,0.037
All Vehicles - StL All Vehicles Volume,Origin,177,STEPHENSON,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),48235,1566,1622,9.2,9.3,18,17,2.053,0.164,0.314,0.212,0.124,0.071,0.043,0.025,0.015,0.010,0.006,0.004,0.003,0.002,0.002,0.001,0.004,0.097,0.182,0.304,0.145,0.147,0.060,0.029,0.017,0.006,0.004,0.002,0.001,0.001,0.005,0.371,0.291,0.158,0.108,0.056,0.014,0.002,0.000,0.000,0.000,0.816,0.092,0.032,0.017,0.010,0.033
