,GEOID,exposure1,exposure2,exposure3,exposure4
5,17119401100,0.0003596531602640174,0.0006431690092826951,0.0014338764374679483,0.003898324120021855
6,17119401500,8.398285606642654e-05,0.0001464251906901239,0.0003218511762244505,0.0008747378326320703
7,17119401722,0.0001309263108387112,0.00023145629299407526,0.0005137243927986941,0.0014025744543680054
8,17189950200,0.002746113471126013,0.000218512763509098,0.00032574765452583407,0.0018112282860533564
9,17189950400,0.0029377184686686544,0.00023627791392546736,0.0003519520231735369,0.0019425931675627678
10,17189950300,0.004909617231963297,0.0004013392403430185,0.0005982919744893275,0.0032638269418390348
11,17189950100,0.0017592425743335755,0.0001398935573528019,0.00020771149442169645,0.0011569217932070426
12,17161024000,7.190973245420819e-06,0.0018555351064473413,0.003643526862860636,0.006103670546828678
13,17161024400,7.190973245420819e-06,0.0004106015177008867,0.0008045123180125879,0.0013492720663462463
14,17119403401,0.0005098716009046469,0.0009158724018751113,0.002051343728711989,0.00560548663790548
15,17119403531,0.001494091674234236,0.0026752537260999873,0.005940636164021063,0.015980046757601504
16,17119401701,8.869921163063497e-05,0.00015503893557303409,0.000341530017536771,0.0009298408747964622
17,17119403402,0.0007637796697096052,0.001372210185528862,0.0030687708833084543,0.008355049737656512
18,17089853100,0.00038389871086866496,0.0009140042976788258,0.0015792896941422578,0.0014020253890591394
19,17089853200,0.0021259064901232717,0.005069184668746258,0.008735790259470784,0.007761052655609983
20,17193958400,7.190973245420819e-06,1.6270870615118265e-05,3.227922574956632e-05,0.0005356028596090535
21,17193958300,7.190973245420819e-06,1.847210854613415e-05,3.8371161140595634e-05,0.0006646825218819685
22,17193958200,7.190973245420819e-06,1.5577803898108536e-05,3.031248062687508e-05,0.0004903762035454198
23,17135957700,7.190973245420819e-06,0.00018519556440371024,0.00029214930436256305,0.0013804694629033453
24,17135958000,7.190973245420819e-06,0.0004147206675184559,0.0006617465499172252,0.003204445227646936
25,17135957400,7.190973245420819e-06,4.2487194298401324e-05,6.408286548248497e-05,0.0002889917226954039
26,17135957600,7.190973245420819e-06,0.00019287634382250665,0.0003052096744008893,0.0014585642324950517
27,17135957800,7.190973245420819e-06,0.00013254310516070563,0.00020854420149401395,0.0009911125656754953
28,17135957300,7.190973245420819e-06,8.333679160845373e-05,0.00012954618250746722,0.0006059194404416229
29,17135957900,7.190973245420819e-06,0.00027178327281963114,0.00042919215006983406,0.002009628330442425
30,17143004600,0.0030453471756770475,0.0008495868973211239,0.0024822669013445484,0.008200486229631845
31,17093890700,0.01454573949989367,0.018311926439589583,0.03140142891413792,0.03611181936009246
32,17093890201,0.0016504848918881816,0.0020821888955113482,0.003592339404602446,0.004138752831143515
33,17093890400,0.038470528410698826,0.048215786856437126,0.0817303968412251,0.09368270516427561
34,17093890202,0.0005841070915076264,0.0007363578648666412,0.001270050724840823,0.001463488881046711
35,17093890500,0.008931518395215525,0.011226214870935832,0.01917364317129391,0.022025117076580784
