GEOID,Area_Name,percent2,income2,percent3,income3,percent4,income4,percent5,income5,percent6,income6,percent7,income7
1400000US17015960100,"Census Tract 9601, Carroll County, Illinois",61,59917,17.7,62813,9.3,80000,6.5,63438,3.9,90000,1.5,155000
1400000US17015960200,"Census Tract 9602, Carroll County, Illinois",64.2,62500,23.3,82596,8.5,75536,3.4,95750,0.6,-,0,-
1400000US17015960300,"Census Tract 9603, Carroll County, Illinois",47.2,55694,22.1,54167,13.7,-,12.3,68854,4.7,-,0,-
1400000US17015960400,"Census Tract 9604, Carroll County, Illinois",62.9,52656,17.9,76167,14.5,70417,3.7,59844,0.7,-,0.4,-
1400000US17015960500,"Census Tract 9605, Carroll County, Illinois",57.2,63661,17,93375,19.4,86023,4,-,1.9,63000,0.5,-
1400000US17015960600,"Census Tract 9606, Carroll County, Illinois",59.6,73600,12.6,-,22.6,48750,3.4,130208,0.5,-,1.4,-
1400000US17017960100,"Census Tract 9601, Cass County, Illinois",54.4,57847,20.4,98500,18.1,58672,6.3,86645,0.5,-,0.3,-
1400000US17017960200,"Census Tract 9602, Cass County, Illinois",57.7,74545,18.1,62188,14.3,100909,6.1,94659,3.8,-,0,-
1400000US17017960300,"Census Tract 9603, Cass County, Illinois",47.2,62586,24.8,52083,16.2,63393,10.2,-,0.9,-,0.7,-
1400000US17017960400,"Census Tract 9604, Cass County, Illinois",56,43409,21.6,31168,15.3,66667,3.3,-,0.7,-,3.1,-
1400000US17017960500,"Census Tract 9605, Cass County, Illinois",46.6,32167,22.3,38750,10.8,52188,9.3,26250,8.3,85179,2.7,48750
1400000US17019000200,"Census Tract 2, Champaign County, Illinois",42.8,25882,21.7,26656,23.1,33000,5.4,-,7,-,0,-
1400000US17019000301,"Census Tract 3.01, Champaign County, Illinois",64.2,-,0,-,28.4,-,7.4,-,0,-,0,-
1400000US17019000302,"Census Tract 3.02, Champaign County, Illinois",100,-,0,-,0,-,0,-,0,-,0,-
1400000US17019000401,"Census Tract 4.01, Champaign County, Illinois",100,-,0,-,0,-,0,-,0,-,0,-
1400000US17019000402,"Census Tract 4.02, Champaign County, Illinois",100,15357,0,-,0,-,0,-,0,-,0,-
1400000US17019000500,"Census Tract 5, Champaign County, Illinois",54.5,96932,26.8,95388,13.8,55000,4.9,-,0,-,0,-
1400000US17019000700,"Census Tract 7, Champaign County, Illinois",48.2,37083,25.8,48165,12,-,10.4,113036,0.9,-,2.6,-
1400000US17019000800,"Census Tract 8, Champaign County, Illinois",51.8,56513,14.1,66903,18.8,52045,3.2,-,11.3,41687,0.8,-
1400000US17019000901,"Census Tract 9.01, Champaign County, Illinois",45.4,51719,17.6,34063,21.9,37222,12,40733,0,-,3,-
1400000US17019000902,"Census Tract 9.02, Champaign County, Illinois",47.2,73875,20.9,114044,18.5,87794,12.7,118162,0.7,-,0,-
1400000US17019001000,"Census Tract 10, Champaign County, Illinois",53.5,62206,24,77130,13.3,-,9.2,-,0,-,0,-
1400000US17019001100,"Census Tract 11, Champaign County, Illinois",57.9,79732,19.7,103173,19,114886,2.4,-,1,-,0,-
1400000US17019001201,"Census Tract 12.01, Champaign County, Illinois",50.3,59028,25.7,53750,12.3,41406,7.3,63516,1.7,-,2.7,-
1400000US17019001203,"Census Tract 12.03, Champaign County, Illinois",55.4,81818,22.1,94250,15.3,105190,5.9,71518,0,-,1.4,-
1400000US17019001204,"Census Tract 12.04, Champaign County, Illinois",44.3,104875,22.5,134211,22.9,173125,1.3,-,2.4,-,6.6,119492
1400000US17019001205,"Census Tract 12.05, Champaign County, Illinois",47,98750,22.3,163409,20.4,230192,6,-,4.3,-,0,-
1400000US17019001206,"Census Tract 12.06, Champaign County, Illinois",63.5,119250,25.1,126354,7.6,146458,2.5,111875,0,-,1.2,-
1400000US17019001301,"Census Tract 13.01, Champaign County, Illinois",56.9,95962,20.2,54405,17.7,79191,3.2,101379,2,-,0,-
1400000US17019001302,"Census Tract 13.02, Champaign County, Illinois",62.1,115129,12.4,149313,16.7,157167,7.7,210096,1.1,-,0,-
1400000US17019001400,"Census Tract 14, Champaign County, Illinois",31.2,110750,26.4,110076,29.2,106806,6.7,103929,5.5,125139,1,-
1400000US17019005300,"Census Tract 53, Champaign County, Illinois",63.1,57917,20.7,-,9.8,106813,6.4,-,0,-,0,-
1400000US17019005401,"Census Tract 54.01, Champaign County, Illinois",68.3,36625,13,41382,13,-,4.7,-,0.9,-,0,-
1400000US17019005402,"Census Tract 54.02, Champaign County, Illinois",47.6,63807,16.5,-,29.1,72014,1.9,-,0,-,4.9,-
1400000US17019005500,"Census Tract 55, Champaign County, Illinois",60.1,75357,19.6,-,12.8,-,3,141333,3.8,-,0.7,-
1400000US17019005600,"Census Tract 56, Champaign County, Illinois",51.1,47487,14.9,-,19,80260,12.3,36660,1.8,-,0.9,-
1400000US17019005701,"Census Tract 57.01, Champaign County, Illinois",59.4,82917,18.8,72337,17,122163,3,-,1.8,-,0,-
1400000US17019005702,"Census Tract 57.02, Champaign County, Illinois",71.5,116307,14.7,123750,6.5,65938,3.7,133295,1.9,-,1.7,-
1400000US17019005800,"Census Tract 58, Champaign County, Illinois",56.6,105221,21.5,155455,16.2,154125,4.8,-,0,-,0.9,-
1400000US17019005900,"Census Tract 59, Champaign County, Illinois",100,-,0,-,0,-,0,-,0,-,0,-
1400000US17019006000,"Census Tract 60, Champaign County, Illinois",35.3,47250,34.7,23750,19.3,-,10.7,-,0,-,0,-
1400000US17019010100,"Census Tract 101, Champaign County, Illinois",57.7,31938,12.1,-,12.2,33988,13.8,57639,4.2,-,0.1,-
1400000US17019010204,"Census Tract 102.04, Champaign County, Illinois",46.3,60714,20.7,70924,15.1,70313,13.1,32250,4.4,-,0.4,-
1400000US17019010300,"Census Tract 103, Champaign County, Illinois",42.7,54598,22.6,27031,25.3,36667,4.3,35250,4.4,117875,0.7,-
1400000US17019010400,"Census Tract 104, Champaign County, Illinois",57,77743,17.1,83409,19.9,100667,5.2,65192,0.2,-,0.7,-
1400000US17019010500,"Census Tract 105, Champaign County, Illinois",49.4,85833,25.8,70000,13.2,74583,6.5,-,4.5,107895,0.6,-
1400000US17019010601,"Census Tract 106.01, Champaign County, Illinois",39.1,95625,22.7,84637,23.4,96648,12,166250,2.9,-,0,-
1400000US17019010603,"Census Tract 106.03, Champaign County, Illinois",49.2,101250,16,65000,26.4,130234,5.9,74441,0.8,-,1.7,-
1400000US17019010604,"Census Tract 106.04, Champaign County, Illinois",67.4,62917,12.6,79091,17.1,84135,1.5,-,1.3,-,0,-
