,START,END,RISK_FLOW
0,17001000100,17001000100,39796.31179863271
0,17001000100,17001000201,3435.6528171481486
0,17001000100,17001000202,2576.7396128611113
0,17001000100,17001000400,2863.0440142901234
0,17001000100,17001000500,34070.22377005247
0,17001000100,17001000600,20327.612501459873
0,17001000100,17001000700,19755.003698601853
0,17001000100,17001000800,1717.8264085740743
0,17001000100,17001001001,1145.2176057160493
0,17001000100,17001001002,6298.696831438271
0,17001000100,17001001100,21759.13450860494
0,17001000100,17001010400,13170.002465734568
0,17001000100,17001010500,1145.2176057160493
0,17001000100,17001010600,1431.5220071450617
0,17001000100,17009970500,294.50809817521196
0,17001000100,17021958200,34.94953696699508
0,17001000100,17115001000,38.23539086987497
0,17001000201,17001000100,4915.500680683103
0,17001000201,17001000201,737.3251021024655
0,17001000201,17001000400,1228.8751701707758
0,17001000201,17001000500,5038.388197700181
0,17001000201,17001000600,4301.063095597715
0,17001000201,17001000700,3809.513027529405
0,17001000201,17001001001,245.77503403415517
0,17001000201,17001001002,368.66255105123275
0,17001000201,17001001100,3686.6255105123278
0,17001000201,17001010400,3195.075442444017
0,17001000201,17001010600,983.1001361366207
0,17001000201,17009970500,189.61305910178424
0,17001000201,17113001200,176.67883495771034
0,17001000202,17001000100,11505.266434602898
0,17001000202,17001000201,1113.4128807680227
0,17001000202,17001000202,1855.6881346133712
0,17001000202,17001000400,2412.394574997382
0,17001000202,17001000500,11505.266434602898
0,17001000202,17001000600,5938.202030762787
0,17001000202,17001000700,4453.65152307209
0,17001000202,17001000800,1113.4128807680227
0,17001000202,17001000900,371.1376269226742
0,17001000202,17001001002,556.7064403840113
0,17001000202,17001001100,7979.458978837495
0,17001000202,17001010400,2597.9633884587197
0,17001000202,17001010600,371.1376269226742
0,17001000202,17009970500,214.74681429239067
0,17001000202,17167002000,57.30918625856291
0,17001000400,17001000100,17383.076614102534
0,17001000400,17001000201,2139.455583274158
0,17001000400,17001000202,534.8638958185395
0,17001000400,17001000400,8557.822333096632
0,17001000400,17001000500,16045.916874556182
0,17001000400,17001000600,5616.070906094664
0,17001000400,17001000700,7220.662593550283
0,17001000400,17001000800,1604.5916874556183
0,17001000400,17001001002,2674.3194790926973
0,17001000400,17001001100,2941.7514270019665
0,17001000400,17001010400,3209.1833749112366
0,17001000400,17001010500,1069.727791637079
0,17001000400,17001010600,1604.5916874556183
0,17001000400,17057953300,106.40097248740517
0,17001000400,17167002000,247.7728939741673
0,17001000500,17001000100,8387.165851760737
0,17001000500,17001000201,723.0315389448912
0,17001000500,17001000202,578.4252311559128
0,17001000500,17001000400,578.4252311559128
0,17001000500,17001000500,8531.772159549715
0,17001000500,17001000600,2892.1261557795647
0,17001000500,17001000700,1156.8504623118256
0,17001000500,17001000800,578.4252311559128
0,17001000500,17001001002,867.6378467338693
0,17001000500,17001001100,4772.008157036281
0,17001000500,17001010400,2458.3072324126297
0,17001000500,17001010500,289.2126155779564
0,17001000500,17009970400,37.18745544821
0,17001000500,17009970500,92.96863862052501
0,17001000500,17167002000,44.658742342868216
0,17001000600,17001000100,7821.982276517032
0,17001000600,17001000201,1150.291511252505
0,17001000600,17001000400,1380.349813503006
0,17001000600,17001000500,17254.372668787575
0,17001000600,17001000600,18634.72248229058
0,17001000600,17001000700,12883.264926028056
0,17001000600,17001000800,1840.4664180040081
0,17001000600,17001001002,2760.699627006012
0,17001000600,17001001100,15874.02285528457
