,FIPS,exposure1,exposure2,exposure3,exposure4
0,17001000100,2.1299522651758585,2.1299522651758585,2.1302453872178915,2.130410437246448
0,17001000201,2.159787883874116,2.159787883874116,2.1667474817197325,2.1660105804779426
0,17001000202,2.1369550498447936,2.136955049844793,2.1373992100109227,2.1392530193199146
0,17001000400,2.1726069131971495,2.1726069131971495,2.171261382019385,2.1750542856202224
0,17001000500,1.9990813090109774,1.9990813090109776,1.9995905185213787,2.0018632452212692
0,17001000600,2.088254959352329,2.0882549593523296,2.0886244530576104,2.09008542488521
0,17001000700,1.8132311115691575,1.813231111569158,1.8094953610760751,1.8225870473345853
0,17001000800,2.1016145459752402,2.1016145459752402,2.1003404641444368,2.103492765069978
0,17001000900,2.1828287044439953,2.1828287044439953,2.183685929178344,2.1859974147680967
0,17001001001,2.1486550034111933,2.148655003411193,2.1485223222716914,2.15418923884329
0,17001001002,2.2865832465774485,2.286583246577448,2.288341746362709,2.2955761798846015
0,17001001100,2.2068122167887356,2.2068122167887356,2.206716714159554,2.2116660084380415
0,17001010100,2.0863409897103367,2.0863409897103367,2.0893926408211034,2.100015450346441
0,17001010200,2.0396349723082072,2.0396349723082072,2.0339196691835753,2.0354387339860582
0,17001010300,2.125417980999829,2.125417980999829,2.127459821112672,2.1289422325087557
0,17001010400,2.1533480098188855,2.153348009818885,2.1553283060137116,2.1567661605871105
0,17001010500,2.1685822600484768,2.168582260048477,2.168553443094177,2.1703073428981288
0,17001010600,2.283157373581006,2.283157373581006,2.2835411788013307,2.2849448954002494
0,17019000200,2.13951616333307,2.13951616333307,2.13951616333307,2.1395161633330706
0,17019000301,1.6194429145464837,1.6194429145464837,1.6269428963282784,1.6374770156329927
0,17019000302,1.2094929006374895,1.2094929006374895,1.20221744431886,1.2085645792469546
0,17019000401,1.9534945865454338,1.9534945865454338,1.896707291124257,1.930141177918891
0,17019000402,1.4500451529591882,1.4500451529591882,1.4408633047670332,1.4442631834141624
0,17019000500,1.4541580646973375,1.4541580646973378,1.4515505241696807,1.4534238674612114
0,17019000700,2.4343665157827394,2.4343665157827394,2.4321667660082977,2.433751706224736
0,17019000800,2.6311560472872686,2.6311560472872686,2.635085149950395,2.632856247822749
0,17019000901,2.8404829435694348,2.840482943569436,2.8436686111560223,2.8412089734262485
