,START,END,RISK_FLOW
0,17001000100,17001000100,1049533.0122813457
0,17001000100,17001000201,90607.16652788596
0,17001000100,17001000202,67955.37489591447
0,17001000100,17001000400,75505.97210657163
0,17001000100,17001000500,898521.0680682024
0,17001000100,17001000600,536092.4019566588
0,17001000100,17001000700,520991.2075353443
0,17001000100,17001000800,45303.58326394297
0,17001000100,17001001001,30202.388842628654
0,17001000100,17001001002,166113.1386344576
0,17001000100,17001001100,573845.3880099443
0,17001000100,17001010400,347327.47169022943
0,17001000100,17001010500,30202.388842628654
0,17001000100,17001010600,37752.986053285815
0,17001000100,17009970500,8241.343702773996
0,17001000100,17021958200,635.3832007689656
0,17001000100,17115001000,1107.8476321099913
0,17001000201,17001000100,129634.63203254946
0,17001000201,17001000201,19445.194804882416
0,17001000201,17001000400,32408.658008137365
0,17001000201,17001000500,132875.49783336322
0,17001000201,17001000600,113430.30302848076
0,17001000201,17001000700,100466.83982522583
0,17001000201,17001001001,6481.731601627473
0,17001000201,17001001002,9722.59740244121
0,17001000201,17001001100,97225.9740244121
0,17001000201,17001010400,84262.51082115715
0,17001000201,17001010600,25926.92640650989
0,17001000201,17009970500,5306.021804746875
0,17001000201,17113001200,4181.692074738833
0,17001000202,17001000100,303424.0207813217
0,17001000202,17001000201,29363.61491432145
0,17001000202,17001000202,48939.35819053575
0,17001000202,17001000400,63621.16564769648
0,17001000202,17001000500,303424.0207813217
0,17001000202,17001000600,156605.9462097144
0,17001000202,17001000700,117454.45965728581
0,17001000202,17001000800,29363.61491432145
0,17001000202,17001000900,9787.87163810715
0,17001000202,17001001002,14681.807457160727
0,17001000202,17001001100,210439.24021930367
0,17001000202,17001010400,68515.10146675006
0,17001000202,17001010600,9787.87163810715
0,17001000202,17009970500,6009.350223729564
0,17001000202,17167002000,1816.2537928782278
0,17001000400,17001000100,458437.27564078756
0,17001000400,17001000201,56423.04930963539
0,17001000400,17001000202,14105.762327408847
0,17001000400,17001000400,225692.19723854156
0,17001000400,17001000500,423172.8698222654
0,17001000400,17001000600,148110.5044377929
0,17001000400,17001000700,190427.79142001946
0,17001000400,17001000800,42317.286982226535
0,17001000400,17001001002,70528.81163704424
0,17001000400,17001001100,77581.69280074867
0,17001000400,17001010400,84634.57396445308
0,17001000400,17001010500,28211.524654817695
0,17001000400,17001010600,42317.286982226535
0,17001000400,17057953300,3429.113226079314
0,17001000400,17167002000,7852.466381613578
0,17001000500,17001000100,221191.53868937513
0,17001000500,17001000201,19068.236093911644
0,17001000500,17001000202,15254.588875129319
0,17001000500,17001000400,15254.588875129319
0,17001000500,17001000500,225005.1859081574
0,17001000500,17001000600,76272.94437564658
0,17001000500,17001000700,30509.177750258637
0,17001000500,17001000800,15254.588875129319
0,17001000500,17001001002,22881.883312693975
0,17001000500,17001001100,125850.35821981689
0,17001000500,17001010400,64832.002719299606
0,17001000500,17001010500,7627.294437564659
0,17001000500,17009970400,1040.6321716761877
0,17001000500,17009970500,2601.580429190469
0,17001000500,17167002000,1415.3334824796327
0,17001000600,17001000100,206286.16697505888
0,17001000600,17001000201,30336.20102574395
0,17001000600,17001000400,36403.441230892735
0,17001000600,17001000500,455043.01538615924
0,17001000600,17001000600,491446.45661705197
0,17001000600,17001000700,339765.45148833224
0,17001000600,17001000800,48537.92164119032
0,17001000600,17001001002,72806.88246178548
0,17001000600,17001001100,418639.5741552665
0,17001000600,17001010400,145613.76492357097
0,17001000600,17001010600,115277.563897827
0,17001000600,17009970500,7450.071401075877
0,17001000600,17167002000,2251.694432117793
