,RESIDENCE,WORKPLACE,JOBS
0,17001000100,17001000100,5005.177621969033
1,17001000100,17001000201,432.10166520595965
2,17001000100,17001000202,324.07624890446976
3,17001000100,17001000400,360.0847210049664
4,17001000100,17001000500,4285.0081799591
5,17001000100,17001000600,2556.6015191352612
6,17001000100,17001000700,2484.584574934268
7,17001000100,17001000800,216.05083260297982
8,17001000100,17001001001,144.03388840198656
9,17001000100,17001001002,792.1863862109261
10,17001000100,17001001100,2736.6438796377447
11,17001000100,17001010400,1656.3897166228455
12,17001000100,17001010500,144.03388840198656
13,17001000100,17001010600,180.0423605024832
14,17001000100,17009970500,34.016
15,17001000100,17021958200,4.0
16,17001000100,17115001000,6.3076923076923075
17,17001000201,17001000100,1440.3388840198656
18,17001000201,17001000201,216.05083260297982
19,17001000201,17001000400,360.0847210049664
20,17001000201,17001000500,1476.3473561203623
21,17001000201,17001000600,1260.2965235173824
22,17001000201,17001000700,1116.2626351153958
23,17001000201,17001001001,72.01694420099328
24,17001000201,17001001002,108.02541630148991
25,17001000201,17001001100,1080.2541630148992
26,17001000201,17001010400,936.2202746129126
27,17001000201,17001010600,288.0677768039731
28,17001000201,17009970500,51.024
29,17001000201,17113001200,37.0
30,17001000202,17001000100,2232.5252702307916
31,17001000202,17001000201,216.05083260297982
32,17001000202,17001000202,360.0847210049664
33,17001000202,17001000400,468.1101373064563
34,17001000202,17001000500,2232.5252702307916
35,17001000202,17001000600,1152.2711072158925
36,17001000202,17001000700,864.2033304119193
37,17001000202,17001000800,216.05083260297982
38,17001000202,17001000900,72.01694420099328
39,17001000202,17001001002,108.02541630148991
40,17001000202,17001001100,1548.3643003213556
41,17001000202,17001010400,504.11860940695294
42,17001000202,17001010600,72.01694420099328
43,17001000202,17009970500,38.268
44,17001000202,17167002000,12.653846153846153
45,17001000400,17001000100,2340.5506865322814
46,17001000400,17001000201,288.0677768039731
47,17001000400,17001000202,72.01694420099328
48,17001000400,17001000400,1152.2711072158925
49,17001000400,17001000500,2160.5083260297984
50,17001000400,17001000600,756.1779141104295
51,17001000400,17001000700,972.2287467134092
52,17001000400,17001000800,216.05083260297982
53,17001000400,17001001002,360.0847210049664
54,17001000400,17001001100,396.09319310546306
55,17001000400,17001010400,432.10166520595965
56,17001000400,17001010500,144.03388840198656
57,17001000400,17001010600,216.05083260297982
58,17001000400,17057953300,13.666666666666666
59,17001000400,17167002000,37.96153846153846
60,17001000500,17001000100,2088.491381828805
61,17001000500,17001000201,180.0423605024832
62,17001000500,17001000202,144.03388840198656
63,17001000500,17001000400,144.03388840198656
64,17001000500,17001000500,2124.499853929302
65,17001000500,17001000600,720.1694420099328
66,17001000500,17001000700,288.0677768039731
67,17001000500,17001000800,144.03388840198656
68,17001000500,17001001002,216.05083260297982
69,17001000500,17001001100,1188.2795793163891
70,17001000500,17001010400,612.1440257084429
71,17001000500,17001010500,72.01694420099328
72,17001000500,17009970400,8.504
73,17001000500,17009970500,21.259999999999998
74,17001000500,17167002000,12.653846153846153
75,17001000600,17001000100,1224.2880514168858
76,17001000600,17001000201,180.0423605024832
77,17001000600,17001000400,216.05083260297982
78,17001000600,17001000500,2700.635407537248
79,17001000600,17001000600,2916.6862401402277
80,17001000600,17001000700,2016.4744376278118
81,17001000600,17001000800,288.0677768039731
82,17001000600,17001001002,432.10166520595965
83,17001000600,17001001100,2484.584574934268
84,17001000600,17001010400,864.2033304119193
85,17001000600,17001010600,684.1609699094362
86,17001000600,17009970500,38.268
87,17001000600,17167002000,12.653846153846153
88,17001000700,17001000100,252.05930470347647
89,17001000700,17001000500,468.1101373064563
90,17001000700,17001000700,612.1440257084429
91,17001000700,17001000800,72.01694420099328
92,17001000700,17001001100,216.05083260297982
93,17001000700,17001010400,72.01694420099328
94,17001000700,17001010600,72.01694420099328
95,17001000700,17009970500,8.504
96,17001000700,17021958300,4.0
97,17001000700,17057953800,13.666666666666666
98,17001000700,17167002000,75.92307692307692
99,17001000800,17001000100,936.2202746129126
100,17001000800,17001000201,72.01694420099328
101,17001000800,17001000400,216.05083260297982
102,17001000800,17001000500,972.2287467134092
103,17001000800,17001000600,360.0847210049664
104,17001000800,17001000700,576.1355536079462
105,17001000800,17001000800,144.03388840198656
106,17001000800,17001001002,324.07624890446976
107,17001000800,17001001100,1368.3219398188724
108,17001000800,17001010400,396.09319310546306
109,17001000800,17001010600,72.01694420099328
110,17001000800,17009970500,8.504
111,17001000800,17167002000,25.307692307692307
112,17001000900,17001000100,2088.491381828805
113,17001000900,17001000201,216.05083260297982
114,17001000900,17001000202,144.03388840198656
115,17001000900,17001000400,504.11860940695294
116,17001000900,17001000500,2556.6015191352612
117,17001000900,17001000600,1332.3134677183757
118,17001000900,17001000700,1332.3134677183757
119,17001000900,17001000800,288.0677768039731
120,17001000900,17001000900,72.01694420099328
121,17001000900,17001001001,72.01694420099328
122,17001000900,17001001002,504.11860940695294
123,17001000900,17001001100,1368.3219398188724
124,17001000900,17001010400,576.1355536079462
125,17001000900,17001010500,72.01694420099328
126,17001000900,17009970500,8.504
127,17001000900,17027900500,2.0
128,17001001001,17001000100,2484.584574934268
129,17001001001,17001000201,288.0677768039731
130,17001001001,17001000202,144.03388840198656
131,17001001001,17001000400,72.01694420099328
132,17001001001,17001000500,4465.050540461583
133,17001001001,17001000600,2700.635407537248
134,17001001001,17001000700,1260.2965235173824
135,17001001001,17001000800,216.05083260297982
136,17001001001,17001000900,72.01694420099328
137,17001001001,17001001002,504.11860940695294
138,17001001001,17001001100,1296.304995617879
