GEOID,income
17001000100,53404.328
17001000201,53666.028
17001000202,60604.903999999995
17001000400,37582.274000000005
17001000500,45949.252
17001000600,69626.414
17001000700,19300.645
17001000800,36000.545
17001000900,44701.789000000004
17001001001,71018.178
17001001002,63895.347
17001001100,72346.878
17001010100,61493.67600000001
17001010200,58969.52
17001010300,67332.387
17001010400,76826.43400000001
17001010500,83355.197
17001010600,88491.16200000001
17003957600,53050.607
17003957700,47177.928
17003957800,21325.039000000004
17003957900,30701.769
17005951200,90216.095
17005951300,60591.16099999999
17005951400,68005.585
17005951500,85556.086
17007010100,49503.15900000001
17007010200,38360.44
17007010300,67377.743
17007010400,75131.423
17007010500,109132.237
17007010601,76017.801
17007010602,78881.016
17009970400,78037.355
17009970500,64760.952000000005
17011964700,81152.973
17011964800,64404.583
17011964900,64625.797999999995
17011965000,68065.024
17011965100,65575.832
17011965200,63104.849
17011965300,67514.275
17011965400,71907.16
17011965500,66185.921
17011965600,63384.03599999999
17013951200,68163.405
17013951300,72806.919
17015960100,65065.740999999995
17015960200,69045.928
17015960300,46727.517
17015960400,59179.21
17015960500,70173.304
17015960600,59310.172
17017960100,67641.035
17017960200,74472.679
17017960300,52726.842000000004
17017960400,41241.379
17017960500,40094.733
17019000200,24484.847999999998
17019000301,0
17019000302,0
17019000401,0
17019000402,15357
17019000500,85981.924
17019000700,42056.32
17019000800,53202.148
17019000901,42515.092000000004
17019000902,89952.66
17019001000,51791.41
17019001100,88318.24900000001
17019001201,53234.44
17019001203,86470.054
17019001204,124189.19699999999
17019001205,129811.875
17019001206,121366.28700000001
17019001301,82853.12299999999
17019001302,132434.202
17019001400,108647.304
17019005300,47013.30100000001
17019005401,30394.535
17019005402,51328.206000000006
17019005500,49529.547
17019005600,44024.437000000005
17019005701,83619.76400000001
17019005702,110568.64
17019005800,117946.16100000002
17019005900,0
17019006000,24920.5
17019010100,30528.944000000003
17019010204,57633.863
17019010300,45401.352999999996
17019010400,81999.166
17019010500,75161.733
17019010601,99167.606
17019010603,98988.795
17019010604,66758.60900000001
17019010700,90985.70800000001
17019010800,80580.99
17019010900,89128.353
17019011000,100406.70599999999
17019011100,0
17021958100,68998.50099999999
17021958200,67043.03
17021958300,52580.657999999996
17021958400,54293.808
17021958500,37023.867999999995
17021958600,80425.742
17021958700,66358.573
17021958800,55636.47900000001
17021958900,42088.34
17021959000,71750.276
17023060100,61027.36
17023060200,56668.485
17023060300,56446.37899999999
17023060400,67714.829
17025971900,66101.286
17025972000,58021.496
17025972100,58504
17025972200,62036.357
17027900100,95141.016
17027900200,91730.06300000001
17027900300,70182.505
17027900401,50572.53
17027900402,64860.64
17027900500,56989.96800000001
17027900601,102677.5
17027900602,87624.02
17029000100,61668.85
17029000200,71740.768
17029000300,51983.922999999995
17029000400,40248.18
17029000500,43735.922
17029000600,81597.191
17029000700,50782.09099999999
17029000800,39783.392
17029000900,107638.28899999999
17029001000,68071.569
17029001100,33283.78
17029001200,58817.289
17031010100,39382.455
17031010201,36227.118
17031010202,50300.477999999996
17031010300,43299.018
17031010400,77590.497
17031010501,0
17031010502,29728.083
17031010503,33611.087
17031010600,89985.998
17031010701,60293.069
17031010702,46805.189000000006
17031020100,60558.200999999994
17031020200,82165.65400000001
17031020301,72940.73199999999
17031020302,76079.685
17031020400,67645.074
17031020500,46338.719000000005
17031020601,42691.81
17031020602,31191.429000000004
17031020701,103097.09399999998
17031020702,46660.294
17031020801,49040.64199999999
17031020802,62420.412000000004
17031020901,45878.114
17031020902,41651.379
17031030101,48394.734
17031030102,52375
17031030103,51314.95199999999
17031030104,47654.934
17031030200,101934.094
17031030300,43172.435999999994
17031030400,72254.969
17031030500,86002.131
17031030601,47932.82699999999
17031030603,29782.5
17031030604,67515.895
17031030701,62478.185
17031030702,85519.32800000001
17031030703,67631.029
17031030706,27276.78
17031030800,127594.95599999999
17031030900,110729.10699999999
17031031000,88297.26799999998
17031031100,79116.365
17031031200,45228.787000000004
17031031300,54348.324
17031031400,135915.68
17031031501,17676.072
17031031502,25198.583
17031031700,109776.405
17031031800,100225.51400000001
17031031900,123716.024
