"","X.x","GEOID","countyFIPS","POPULATION","POP_DENSITY","Shape_Area","NUM_WORKERS","EMPLOYMENT_DENSITY","No..Hospitals","No..Populated.Places","Total.Points.of.Interest","exposure_entropy","ALAND","cases1","cases2","cases3","cases4","income","X.y","exposure1","exposure2","exposure3","exposure4","county_pop","estimate_cases1","estimate_cases2","estimate_cases3","estimate_cases4","estimate_cases1_density","estimate_cases2_density","estimate_cases3_density","estimate_cases4_density","pop_density_class","income_class"
"1899",1898,17031827801,17031,4998,8.9012860964075,7.6711773476e-05,4066635,4.96080995074125,0,1,21,2.64039434476878,2841100,408,73516,85971,187602,50503.042,0,0.00300962703330246,0.00186681651143735,0.0031078767964853,0.00249647433164716,5194675,0.392552758353506,70.7326190762656,82.7160617362973,180.499221991751,0.357858450647841,64.481181024085,75.4055119133469,164.546473182442,"3","2"
"1900",1899,17031801500,17031,5928,2.98807450350333,0.000371036724599,4066635,5.19970213516067,0,0,11,2.91531416499681,10119481,408,73516,85971,187602,122123.962,0,0.00882743796985514,0.00549753699894334,0.00914868916214578,0.00734517555598989,5194675,0.465596789019525,83.8941508371554,98.1074057568568,214.085511798139,0.119165763892493,21.4720350449032,25.1098036460822,54.7934697003909,"2","4"
"1901",1900,17031806002,17031,7550,24.68006478748,5.3346242711e-05,4066635,6.3227424507832,0,0,1,3.97884763145725,2316161,408,73516,85971,187602,65372.746,0,0.0226999395517088,0.014127743403694,0.0234584229918904,0.0188872755206436,5194675,0.592991861858538,106.848994402922,124.951233715295,272.66289036369,0.663101106621523,119.48171802546,139.724179503331,304.899739716693,"4","2"
"1902",1901,17031811701,17031,3858,6.679003760635,0.00039328685426,4066635,8.13070070225,0,0,2,3.16318944420532,7244520,408,73516,85971,187602,54578.059,0,0.00297671275185337,0.0018420864628075,0.00306692530887333,0.00247543085291385,5194675,0.30301491431129,54.5991285306588,63.8492529369017,139.32893126134,0.108331349498137,19.5198222786888,22.8268491365302,49.8117103640917,"2","2"
"1903",1902,17031823803,17031,6760,6.5347583860625,0.000145370705505,4066635,2.9578026644225,0,1,12,3.09205573557747,5361945,408,73516,85971,187602,75146.553,0,0.00708781615225495,0.00440473735384109,0.00730798290193448,0.00589363043229752,5194675,0.530943706776651,95.6687684985105,111.876866213959,244.132601173317,0.25646369005119,46.2112368573609,54.040293866154,117.924267600449,"2","3"
"1904",1903,17031820800,17031,3626,12.158051414938,0.000218338086764,4066635,2.05785369873533,0,2,5,1.88724774150891,5632378,408,73516,85971,187602,75050.817,0,0.00091926491551644,0.000569175176237452,0.000950469646025925,0.000763353098278379,5194675,0.284793177629014,51.3158216827809,60.0096918479019,130.9504159548,0.130959663939307,23.5971339562797,27.5949344816818,60.21640900574,"3","3"
"1905",1904,17031300800,17031,4610,57.25537712445,1.7662772873e-05,4066635,1.503682767292,0,0,2,2.46045159120352,325846,408,73516,85971,187602,16031.809,0,0.00161308651825078,0.000998659974323898,0.00166222210839618,0.00133424417026959,5194675,0.362078474591769,65.2415714168836,76.2947268115907,166.486877427366,2.87799527750128,518.575247109765,606.431696083487,1323.32762267107,"4","1"
"1906",1905,17031060900,17031,6867,110.59361440182,1.9620972998e-05,4066635,35.978552595368,0,0,3,2.80852947938084,499066,408,73516,85971,187602,101824.812,0,0.0509432008227843,0.0321525642686655,0.0525774467517277,0.0426190239964983,5194675,0.539347697401666,97.1830522602473,113.647698267938,247.996830215557,2.79904969737533,504.350337137854,589.796817482976,1287.02774835051,"4","4"
"1907",1906,17031061000,17031,1647,38.5676171351,1.8764347204e-05,4066635,9.78825984365,0,0,4,2.33548023493236,172815,408,73516,85971,187602,125504.753,0,0.00269513381191026,0.00167323289521837,0.00278558361022105,0.00224061880742828,5194675,0.129358622050465,23.3086481829951,27.2575737654425,59.4802358184102,1.93871383335188,349.329622972296,408.512664135035,891.437726873723,"4","4"
"1908",1907,17031210700,17031,4309,36.7776898238667,1.799545434e-05,4066635,1.93216098036667,0,0,1,2.02081157098647,497304,408,73516,85971,187602,55373.195,0,0.00308143021235305,0.00191757024987753,0.00318331801161409,0.00256200726774248,5194675,0.338437342085886,60.9817638254559,71.3132272952591,155.616476102932,1.76260942200836,317.598025167565,371.405133871276,810.46336467552,"4","2"
