,dates,Illinois_UnitedStates.Apple_DrivingMobility.data
0,2020-09-21,121.79
0,2020-09-22,126.37
0,2020-09-23,129.22
0,2020-09-24,134.32
0,2020-09-25,163.73
0,2020-09-26,160.32
0,2020-09-27,116.42
0,2020-09-28,116.01
0,2020-09-29,119.31
0,2020-09-30,122.48
0,2020-10-01,127.3
0,2020-10-02,150.94
0,2020-10-03,150.05
0,2020-10-04,110.21
0,2020-10-05,115.44
0,2020-10-06,120.93
0,2020-10-07,124.64
0,2020-10-08,131.08
0,2020-10-09,159.34
0,2020-10-10,158.3
0,2020-10-11,119.3
0,2020-10-12,115.14
0,2020-10-13,119.44
0,2020-10-14,122.36
0,2020-10-15,126.1
0,2020-10-16,152.05
0,2020-10-17,151.79
0,2020-10-18,101.34
0,2020-10-19,110.75
0,2020-10-20,113.47
0,2020-10-21,117.14
0,2020-10-22,125.95
0,2020-10-23,140.38
0,2020-10-24,144.58
0,2020-10-25,100.8
0,2020-10-26,106.51
0,2020-10-27,110.28
0,2020-10-28,113.82
0,2020-10-29,118.84
0,2020-10-30,143.65
0,2020-10-31,132.28
