,GEOID,FIPS,POPULATION,POP_DENSITY,Shape_Area,NUM_WORKERS,EMPLOYMENT_DENSITY,No. Hospitals,No. Populated Places,Total Points of Interest,exposure_entropy
0,17091011700,17091,3417,7.05987286464,6.635939784699999e-05,46799.0,2.4421255746775,0.0,0.0,8.0,2.4095395293285837
1,17091011800,17091,2627,5.83879439916,9.8985790421e-05,46799.0,1.3272683497515,0.0,1.0,3.0,2.4598742984600905
2,17119400951,17119,4966,3.7724279084699996,0.000184364584662,1237055.0,0.5663531915750329,0.0,0.0,4.0,2.0630987071124243
3,17119400952,17119,3335,2.7777859108,0.000313628063658,1237055.0,0.242828196371,0.0,1.0,2.0,2.798067301183187
4,17135957500,17135,3273,0.128182617555925,0.011776500483063002,0.0,0.040990093246667,0.0,7.0,49.0,1.0394754719324681
5,17119401100,17119,6505,6.9202524908050025,6.711630619499999e-05,1237055.0,2.5696066222850003,1.0,1.0,22.0,2.6268774769033585
6,17119401500,17119,2763,6.071526746549997,0.00012757474230299995,1237055.0,0.4874631792503,0.0,1.0,3.0,2.3700537320238864
7,17119401722,17119,2684,5.3743941207949995,0.000116799788721,1237055.0,2.00862236603,0.0,1.0,1.0,2.718626737353792
8,17189950200,17189,3795,0.060781972397480004,0.00862914874631,0.0,0.015509767953752,0.0,10.0,30.0,1.532434776925896
9,17189950400,17189,4231,0.04042634898282,0.012109212001362,0.0,0.0063250535985300005,0.0,12.0,48.0,1.129724415900691
10,17189950300,17189,3355,1.009584681235,0.000764929124416,0.0,0.59462233475,1.0,1.0,15.0,0.742043077168445
11,17189950100,17189,3335,0.08006938119838,0.008754446204996,0.0,0.016147297115068,0.0,9.0,41.0,1.8743471587716676
12,17161024000,17161,4106,0.9340344633230001,0.000635045511996,168173.0,0.186748149749675,0.0,1.0,11.0,2.6860048769048688
13,17161024400,17161,1943,5.34152475904,0.00020307293085699998,168173.0,1.80624962505,0.0,0.0,3.0,1.9160882336229212
14,17119403401,17119,3923,4.0679601333700015,0.00017890912863799996,1237055.0,1.006151025953,0.0,1.0,5.0,3.40717216806374
15,17119403531,17119,8226,2.4779322386844,0.0005080974420059999,1237055.0,0.526546426506,0.0,1.0,19.0,2.8755458116764077
16,17119401701,17119,2570,1.608621152207,0.000604489590645,1237055.0,0.20069007187755,1.0,1.0,5.0,2.542697772255831
17,17119403402,17119,6031,4.0363777305405,0.00021436692314,1237055.0,0.65226074009325,0.0,0.0,4.0,3.3486144255489405
18,17089853100,17089,3008,8.904830524189999,7.7753794174e-05,4066635.0,5.051244360828,0.0,0.0,7.0,2.7566986210289444
19,17089853200,17089,6179,15.413068330833335,6.4470051705e-05,4066635.0,2.318872966780666,1.0,0.0,12.0,3.4094275484787753
20,17193958400,17193,3316,0.4760737777788329,0.01554711338251,0.0,0.053602725209449996,0.0,12.0,38.0,1.7176740515131999
21,17193958300,17193,2677,0.033149334058267005,0.011945416395983,0.0,0.006384319984000001,0.0,8.0,51.0,1.921242228393742
22,17193958200,17193,2880,0.044691629382600004,0.016327895645177,0.0,0.012531678608999999,0.0,9.0,63.0,1.273244071736411
23,17135957700,17135,3103,1.751834867256667,0.00026338913286900003,0.0,0.747750800516333,1.0,0.0,14.0,1.1224158138937288
24,17135958000,17135,5809,0.114911291024225,0.009962390386440001,0.0,0.023600354503678,0.0,7.0,47.0,2.843792105540413
25,17135957400,17135,2491,0.5750019644842671,0.009987422111601,0.0,0.043682156439777,0.0,2.0,33.0,1.7171735994557638
26,17135957600,17135,3481,0.0371605515926,0.015256167220853004,0.0,0.019305042947723,0.0,8.0,42.0,1.8602302826785437
27,17135957800,17135,3424,2.34308414895,0.000231221597723,0.0,1.037359112585667,0.0,1.0,10.0,1.74028689864571
28,17135957300,17135,3483,0.6190581560824671,0.008054499415453,0.0,0.18623288565712692,0.0,4.0,36.0,1.4064422133281238
29,17135957900,17135,5040,1.5158995936078,0.0006824726647439999,0.0,0.55402653612998,1.0,4.0,30.0,0.6542050856658874
30,17143004600,17143,5499,3.008508537787,0.000606497456076,170560.0,0.917849198725,1.0,2.0,16.0,2.3018977122045077
31,17093890700,17093,15257,0.30963529957459995,0.007925438239166,4066635.0,0.030860529294988,0.0,7.0,50.0,4.037620686946319
32,17093890201,17093,4389,10.242692816336666,7.3544082799e-05,4066635.0,0.271999296808767,0.0,0.0,1.0,3.1587838036682
33,17093890400,17093,26230,2.649114018235,0.002009288728024,4066635.0,1.1118668788784751,0.0,3.0,23.0,3.527484083013084
34,17093890202,17093,2892,8.694580755953334,4.8740533104999995e-05,4066635.0,0.132398436603333,0.0,1.0,2.0,2.6236372731072346
35,17093890500,17093,13076,3.9000184158604996,0.001654985060423,4066635.0,0.8725245924887329,0.0,2.0,19.0,2.988768891586083
36,17093890600,17093,9414,0.59096807327295,0.005304146702909999,4066635.0,0.268950582916757,0.0,10.0,35.0,2.802255199004524
37,17197881109,17197,4361,5.942933465131667,0.00030521990824,4066635.0,1.0675277458265,0.0,0.0,1.0,3.2554596704093943
38,17143000200,17143,1868,8.25106564555,3.4484132630000004e-05,170560.0,0.272674838604333,0.0,0.0,6.0,2.225631738798606
39,17143004102,17143,3266,2.034299708455,0.00036648717991700017,170560.0,0.2542360922385,0.0,1.0,4.0,2.8858244380510656
40,17143003900,17143,6533,0.116307938643275,0.007443049880838002,170560.0,0.038912061367714995,1.0,4.0,44.0,2.232033021163174
41,17143004101,17143,6494,0.5475956647923329,0.0024894611961370004,170560.0,0.1054683405167,0.0,2.0,10.0,2.649145515810059
