,RESIDENCE,WORKPLACE,JOBS
0,17001000100,17001000100,5124.05652936021
1,17001000100,17001000201,442.36459246275194
2,17001000100,17001000202,331.77344434706396
3,17001000100,17001000400,368.63716038562666
4,17001000100,17001000500,4386.7822085889575
5,17001000100,17001000600,2617.3238387379492
6,17001000100,17001000700,2543.596406660824
7,17001000100,17001000800,221.18229623137597
8,17001000100,17001001001,147.45486415425066
9,17001000100,17001001002,811.0017528483786
10,17001000100,17001001100,2801.6424189307627
11,17001000100,17001010400,1695.7309377738825
12,17001000100,17001010500,147.45486415425066
13,17001000100,17001010600,184.31858019281333
14,17001000100,17009970500,37.92
15,17001000100,17021958200,4.5
16,17001000100,17115001000,4.923076923076923
17,17001000201,17001000100,1474.5486415425066
18,17001000201,17001000201,221.18229623137597
19,17001000201,17001000400,368.63716038562666
20,17001000201,17001000500,1511.4123575810693
21,17001000201,17001000600,1290.2300613496932
22,17001000201,17001000700,1142.7751971954426
23,17001000201,17001001001,73.72743207712533
24,17001000201,17001001002,110.59114811568799
25,17001000201,17001001100,1105.91148115688
26,17001000201,17001010400,958.4566170026293
27,17001000201,17001010600,294.9097283085013
28,17001000201,17009970500,56.88
29,17001000201,17113001200,53.0
30,17001000202,17001000100,2285.5503943908852
31,17001000202,17001000201,221.18229623137597
32,17001000202,17001000202,368.63716038562666
33,17001000202,17001000400,479.22830850131464
34,17001000202,17001000500,2285.5503943908852
35,17001000202,17001000600,1179.6389132340053
36,17001000202,17001000700,884.7291849255039
37,17001000202,17001000800,221.18229623137597
38,17001000202,17001000900,73.72743207712533
39,17001000202,17001001002,110.59114811568799
40,17001000202,17001001100,1585.1397896581946
41,17001000202,17001010400,516.0920245398773
42,17001000202,17001010600,73.72743207712533
43,17001000202,17009970500,42.660000000000004
44,17001000202,17167002000,11.384615384615385
45,17001000400,17001000100,2396.1415425065734
46,17001000400,17001000201,294.9097283085013
47,17001000400,17001000202,73.72743207712533
48,17001000400,17001000400,1179.6389132340053
49,17001000400,17001000500,2211.82296231376
50,17001000400,17001000600,774.138036809816
51,17001000400,17001000700,995.3203330411919
52,17001000400,17001000800,221.18229623137597
53,17001000400,17001001002,368.63716038562666
54,17001000400,17001001100,405.5008764241893
55,17001000400,17001010400,442.36459246275194
56,17001000400,17001010500,147.45486415425066
57,17001000400,17001010600,221.18229623137597
58,17001000400,17057953300,14.666666666666666
59,17001000400,17167002000,34.15384615384615
60,17001000500,17001000100,2138.0955302366347
61,17001000500,17001000201,184.31858019281333
62,17001000500,17001000202,147.45486415425066
63,17001000500,17001000400,147.45486415425066
