,RESIDENCE,WORKPLACE,JOBS
0,17001000100,17001000100,4955.433245690914
1,17001000100,17001000201,427.8071866783523
2,17001000100,17001000202,320.85539000876423
3,17001000100,17001000400,356.5059888986269
4,17001000100,17001000500,4242.42126789366
5,17001000100,17001000600,2531.1925211802513
6,17001000100,17001000700,2459.891323400526
7,17001000100,17001000800,213.90359333917615
8,17001000100,17001001001,142.60239555945077
9,17001000100,17001001002,784.3131755769792
10,17001000100,17001001100,2709.4455156295644
11,17001000100,17001010400,1639.9275489336837
12,17001000100,17001010500,142.60239555945077
13,17001000100,17001010600,178.25299444931346
14,17001000100,17009970500,38.912
15,17001000100,17021958200,3.0
16,17001000100,17115001000,5.230769230769231
17,17001000201,17001000100,1426.0239555945077
18,17001000201,17001000201,213.90359333917615
19,17001000201,17001000400,356.5059888986269
20,17001000201,17001000500,1461.6745544843704
21,17001000201,17001000600,1247.7709611451942
22,17001000201,17001000700,1105.1685655857434
23,17001000201,17001001001,71.30119777972538
24,17001000201,17001001002,106.95179666958808
25,17001000201,17001001100,1069.5179666958807
26,17001000201,17001010400,926.91557113643
27,17001000201,17001010600,285.20479111890154
28,17001000201,17009970500,58.367999999999995
29,17001000201,17113001200,46.0
30,17001000202,17001000100,2210.337131171487
31,17001000202,17001000201,213.90359333917615
32,17001000202,17001000202,356.5059888986269
33,17001000202,17001000400,463.457785568215
34,17001000202,17001000500,2210.337131171487
35,17001000202,17001000600,1140.8191644756062
36,17001000202,17001000700,855.6143733567046
37,17001000202,17001000800,213.90359333917615
38,17001000202,17001000900,71.30119777972538
39,17001000202,17001001002,106.95179666958808
40,17001000202,17001001100,1532.9757522640957
41,17001000202,17001010400,499.1083844580777
42,17001000202,17001010600,71.30119777972538
43,17001000202,17009970500,43.775999999999996
44,17001000202,17167002000,13.23076923076923
45,17001000400,17001000100,2317.288927841075
46,17001000400,17001000201,285.20479111890154
47,17001000400,17001000202,71.30119777972538
48,17001000400,17001000400,1140.8191644756062
49,17001000400,17001000500,2139.0359333917613
50,17001000400,17001000600,748.6625766871166
51,17001000400,17001000700,962.5661700262926
52,17001000400,17001000800,213.90359333917615
53,17001000400,17001001002,356.5059888986269
54,17001000400,17001001100,392.1565877884896
55,17001000400,17001010400,427.8071866783523
56,17001000400,17001010500,142.60239555945077
57,17001000400,17001010600,213.90359333917615
58,17001000400,17057953300,17.333333333333332
59,17001000400,17167002000,39.69230769230769
60,17001000500,17001000100,2067.7347356120363
61,17001000500,17001000201,178.25299444931346
62,17001000500,17001000202,142.60239555945077
63,17001000500,17001000400,142.60239555945077
64,17001000500,17001000500,2103.385334501899
65,17001000500,17001000600,713.0119777972538
66,17001000500,17001000700,285.20479111890154
67,17001000500,17001000800,142.60239555945077
68,17001000500,17001001002,213.90359333917615
69,17001000500,17001001100,1176.469763365469
70,17001000500,17001010400,606.0601811276658
71,17001000500,17001010500,71.30119777972538
72,17001000500,17009970400,9.728
73,17001000500,17009970500,24.32
74,17001000500,17167002000,13.23076923076923
75,17001000600,17001000100,1212.1203622553317
76,17001000600,17001000201,178.25299444931346
77,17001000600,17001000400,213.90359333917615
78,17001000600,17001000500,2673.794916739702
79,17001000600,17001000600,2887.698510078878
80,17001000600,17001000700,1996.4335378323108
81,17001000600,17001000800,285.20479111890154
82,17001000600,17001001002,427.8071866783523
83,17001000600,17001001100,2459.891323400526
84,17001000600,17001010400,855.6143733567046
85,17001000600,17001010600,677.3613789073911
86,17001000600,17009970500,43.775999999999996
87,17001000600,17167002000,13.23076923076923
88,17001000700,17001000100,249.55419222903885
89,17001000700,17001000500,463.457785568215
90,17001000700,17001000700,606.0601811276658
91,17001000700,17001000800,71.30119777972538
92,17001000700,17001001100,213.90359333917615
93,17001000700,17001010400,71.30119777972538
94,17001000700,17001010600,71.30119777972538
95,17001000700,17009970500,9.728
96,17001000700,17021958300,3.0
97,17001000700,17057953800,17.333333333333332
98,17001000700,17167002000,79.38461538461539
99,17001000800,17001000100,926.91557113643
100,17001000800,17001000201,71.30119777972538
101,17001000800,17001000400,213.90359333917615
102,17001000800,17001000500,962.5661700262926
103,17001000800,17001000600,356.5059888986269
104,17001000800,17001000700,570.4095822378031
105,17001000800,17001000800,142.60239555945077
106,17001000800,17001001002,320.85539000876423
107,17001000800,17001001100,1354.7227578147822
108,17001000800,17001010400,392.1565877884896
109,17001000800,17001010600,71.30119777972538
110,17001000800,17009970500,9.728
111,17001000800,17167002000,26.46153846153846
112,17001000900,17001000100,2067.7347356120363
113,17001000900,17001000201,213.90359333917615
114,17001000900,17001000202,142.60239555945077
115,17001000900,17001000400,499.1083844580777
116,17001000900,17001000500,2531.1925211802513
117,17001000900,17001000600,1319.0721589249197
118,17001000900,17001000700,1319.0721589249197
119,17001000900,17001000800,285.20479111890154
120,17001000900,17001000900,71.30119777972538
121,17001000900,17001001001,71.30119777972538
122,17001000900,17001001002,499.1083844580777
123,17001000900,17001001100,1354.7227578147822
124,17001000900,17001010400,570.4095822378031
125,17001000900,17001010500,71.30119777972538
126,17001000900,17009970500,9.728
127,17001000900,17027900500,7.0
128,17001001001,17001000100,2459.891323400526
129,17001001001,17001000201,285.20479111890154
130,17001001001,17001000202,142.60239555945077
131,17001001001,17001000400,71.30119777972538
132,17001001001,17001000500,4420.674262342974
133,17001001001,17001000600,2673.794916739702
134,17001001001,17001000700,1247.7709611451942
135,17001001001,17001000800,213.90359333917615
136,17001001001,17001000900,71.30119777972538
137,17001001001,17001001002,499.1083844580777
138,17001001001,17001001100,1283.421560035057
139,17001001001,17001010400,1176.469763365469
