,FIPS,exposure1,exposure2,exposure3,exposure4
0,17043845901,1.2524435422572102,1.1188162495511036,1.1181721597582506,1.177700919355841
0,17043845902,0.7868036854964611,0.6785534235071524,0.6781175005808904,0.7215761799394405
0,17043846002,2.144650835855327,1.7581593681752554,1.7529889212239351,1.8667333034762101
0,17043846003,1.836801041514569,1.6086098630992192,1.6054516142903175,1.6573545826724807
0,17043846004,1.9480455531511052,1.4941028454704461,1.4875221965751084,1.5283936287835618
0,17043846102,2.970894306220777,2.4060184594997835,2.397132814992364,2.491785355024389
0,17043846103,2.98117546898954,2.6004330230601873,2.5946043082553887,2.718147783315099
0,17043846104,2.7839213193896133,2.2331465947486375,2.2262799692826096,2.2774855188402974
0,17043846105,0.9666464959244945,0.8109382862480646,0.8076539903630491,0.8394996738591436
0,17043846106,1.6864334777017467,1.351416745344349,1.3458155269919814,1.4138245962688851
0,17043846201,4.183418085020388,3.498149457153869,3.492607059809814,3.6018367380957423
0,17043846202,3.3909029489462656,2.8589045010177645,2.8509711933417696,2.9453622566105118
0,17043846203,1.9129311507502313,1.655756705475769,1.6552288460127926,1.7282459603089082
0,17043846205,2.0600824025581534,1.688505477441541,1.6833974583925158,1.7488678507267765
0,17043846206,1.207310741771242,0.9730902462024665,0.9671777068392269,1.0022594995066711
0,17043846207,3.069878241889124,2.5991564255611728,2.5890762529225926,2.6463367079308995
0,17043846208,1.2624086341810798,1.0750849697457512,1.070980567925499,1.097939129795918
0,17043846209,1.2773624023351893,1.11814119169008,1.1146760430967049,1.1593510264048845
0,17043846304,3.5602446646474846,2.79899922220066,2.7904448326295954,2.850271923432537
0,17043846305,5.22253956622955,4.309311461341505,4.309927262280228,4.4860309101365745
0,17043846307,4.488540823430182,3.807589568064637,3.802134518819075,3.9573455843323746
0,17043846308,6.455478724604886,5.2785472698865545,5.24240433236668,5.307494538356532
0,17043846310,8.311829515674757,6.345854471947592,6.316345328986177,6.623011022669143
0,17043846311,3.4252376389845463,2.804538265251962,2.8039896288039787,2.9095191189918417
0,17043846312,3.12718768606441,2.629767869762075,2.6192775621080617,2.754505719869311
0,17043846313,3.602083833172599,3.0407801127134024,3.0342436533256207,3.161811095457597
0,17043846314,1.6518061507315613,1.4558443882086092,1.4531532413015424,1.5193932880280026
0,17043846315,2.2227294720781234,1.8815714367937348,1.8760438743579093,1.9409644243820783
0,17043846404,3.6044917316647487,2.7918222988305668,2.7842821034253453,2.9620826392871566
0,17043846405,1.7418984385723053,1.34091578698136,1.3327392561960656,1.3940702606645798
0,17043846408,1.9620331248372929,1.445562527727814,1.4373789590371249,1.4984298337425803
0,17043846409,3.3756428420127405,2.2838598232658556,2.2718218364414167,2.3347747308371423
0,17043846410,4.630680426776885,3.455834519047194,3.433806263677904,3.5651419110160907
0,17043846411,6.036412002688082,4.570824625908262,4.532586268930947,4.701537437492933
0,17043846412,3.489309496518669,2.736812850098068,2.7222169015767177,2.8713863768763472
0,17043846413,2.778366308295618,1.9603253675754515,1.948651600498115,2.0183961151430307
0,17043846504,4.204594576111461,3.0045524601379494,2.990507668434791,3.125023008250922
0,17043846507,2.6550233900729667,1.7463937771949531,1.7352651572183448,1.8309677407360407
0,17043846509,3.759797682980331,2.5234822996391424,2.5035623155173625,2.6445425995048697
0,17043846510,2.64873306077241,1.7815437928434146,1.7696898813705393,1.8575999413232867
0,17043846511,8.004703941030574,5.653531895040322,5.618137667268553,5.765419659494821
0,17043846513,1.8561309594181241,1.4633891483330494,1.4426820386015924,1.426193834525482
0,17043846514,5.007086611142308,3.896904393536246,3.873463309631723,3.9978404330527075
0,17043846515,7.165781011058916,4.872166217152053,4.832323313969207,4.976055872122199
0,17043846517,6.185056973450604,4.456056605499906,4.425587960786776,4.618637951744303
0,17043846518,2.2296879416120534,1.5000997681684116,1.48937601022826,1.5283431117199757
0,17043846519,1.531104166025756,1.0963999514982778,1.0893377583541803,1.1370666915408911
0,17043846521,2.4555458802617145,2.120304822154325,2.1118241804472553,2.1637266454582047
0,17043846522,2.971542803621566,2.223831105910692,2.2114777475581144,2.3446692424982727
0,17043846523,1.1106191776327072,0.8913158188216329,0.8864131792728165,0.9130019682254069
0,17043846524,3.04658538885998,2.171243318918772,2.159056446553265,2.2453002060891682
0,17043846603,4.281536589236848,3.87438821813209,3.8726008336166466,4.159900009510312
0,17043846604,2.528107338472209,2.2123630233300573,2.211145142336859,2.4013073654929546
0,17043846701,3.063815732814405,2.779146437395061,2.7761934418065684,2.9983092576393044
0,17043846702,1.8875573762747593,1.6747618485034899,1.671976422671578,1.8292961578944074
0,17077010100,0.9008502939002158,1.2016603080479942,1.1671317673425463,1.0484457815491324
0,17077010200,1.2309662733134188,1.5318828436117347,1.5033071691698106,1.3291655964044096
0,17077010300,0.9893757876861226,1.496124209956623,1.4777403369373274,1.3322311623603587
0,17077010400,2.219260180932577,2.411216733552914,2.3628991777105126,2.1365705696933763
0,17077010600,2.2563371329514066,2.9905024200301664,2.8970261961393433,2.540547380587778
0,17077010700,1.1199718349530918,1.2716805533778368,1.141533358336088,1.0567049789980598
0,17077010800,1.5864312266507512,2.11250350648894,2.051098133537486,1.7008354159140613
0,17077010900,0.8271224431430123,1.0299693683422435,0.9845947790522018,0.7831020315542948
0,17077011000,2.5862921580383866,3.466223166639038,3.3766863278329633,2.795701605573365
0,17077011100,1.2306405122300024,1.6115661157265422,1.5927919555967163,1.4007618049165582
